Time	Fy	Fx	Fz	Vz	Vx	Vy	Pz	Px	Py	
0.253	-0.6089946	0	0	0	0	-0.1934281	0	0	1.47352	
0.254	-0.6068555	0	0	0	0	-0.1939798	0	0	1.473326	
0.255	-0.604718	0	0	0	0	-0.1945296	0	0	1.473132	
0.256	-0.602582	0	0	0	0	-0.1950774	0	0	1.472937	
0.257	-0.6004484	0	0	0	0	-0.1956233	0	0	1.472741	
0.258	-0.5983157	0	0	0	0	-0.1961672	0	0	1.472545	
0.259	-0.5961844	0	0	0	0	-0.1967092	0	0	1.472348	
0.26	-0.5940555	0	0	0	0	-0.1972492	0	0	1.472151	
0.261	-0.5919274	0	0	0	0	-0.1977873	0	0	1.471953	
0.262	-0.5898016	0	0	0	0	-0.1983235	0	0	1.471755	
0.263	-0.5876782	0	0	0	0	-0.1988578	0	0	1.471556	
0.264	-0.5855563	0	0	0	0	-0.1993901	0	0	1.471356	
0.265	-0.583436	0	0	0	0	-0.1999205	0	0	1.471156	
0.266	-0.581318	0	0	0	0	-0.2004489	0	0	1.470956	
0.267	-0.5792024	0	0	0	0	-0.2009755	0	0	1.470755	
0.268	-0.5770884	0	0	0	0	-0.2015001	0	0	1.470554	
0.269	-0.5749774	0	0	0	0	-0.2020228	0	0	1.470352	
0.27	-0.572868	0	0	0	0	-0.2025436	0	0	1.470149	
0.271	-0.570761	0	0	0	0	-0.2030625	0	0	1.469946	
0.272	-0.5686563	0	0	0	0	-0.2035794	0	0	1.469742	
0.273	-0.566554	0	0	0	0	-0.2040945	0	0	1.469538	
0.274	-0.5644547	0	0	0	0	-0.2046076	0	0	1.469334	
0.275	-0.5623571	0	0	0	0	-0.2051189	0	0	1.469129	
0.276	-0.5602626	0	0	0	0	-0.2056282	0	0	1.468923	
0.277	-0.5581704	0	0	0	0	-0.2061356	0	0	1.468717	
0.278	-0.5560812	0	0	0	0	-0.2066412	0	0	1.46851	
0.279	-0.5539946	0	0	0	0	-0.2071448	0	0	1.468303	
0.28	-0.5519102	0	0	0	0	-0.2076465	0	0	1.468096	
0.281	-0.5498289	0	0	0	0	-0.2081464	0	0	1.467887	
0.282	-0.5477508	0	0	0	0	-0.2086443	0	0	1.467679	
0.283	-0.5456758	0	0	0	0	-0.2091404	0	0	1.46747	
0.284	-0.5436032	0	0	0	0	-0.2096346	0	0	1.46726	
0.285	-0.5415336	0	0	0	0	-0.2101269	0	0	1.46705	
0.286	-0.5394673	0	0	0	0	-0.2106173	0	0	1.466839	
0.287	-0.5374032	0	0	0	0	-0.2111059	0	0	1.466628	
0.288	-0.535343	0	0	0	0	-0.2115926	0	0	1.466416	
0.289	-0.533286	0	0	0	0	-0.2120774	0	0	1.466204	
0.29	-0.5312321	0	0	0	0	-0.2125603	0	0	1.465992	
0.291	-0.5291813	0	0	0	0	-0.2130414	0	0	1.465779	
0.292	-0.5271336	0	0	0	0	-0.2135206	0	0	1.465565	
0.293	-0.5250899	0	0	0	0	-0.213998	0	0	1.465351	
0.294	-0.5230485	0	0	0	0	-0.2144735	0	0	1.465137	
0.295	-0.5210118	0	0	0	0	-0.2149471	0	0	1.464922	
0.296	-0.5189774	0	0	0	0	-0.2154189	0	0	1.464706	
0.297	-0.5169469	0	0	0	0	-0.2158889	0	0	1.46449	
0.298	-0.5149204	0	0	0	0	-0.216357	0	0	1.464274	
0.299	-0.512897	0	0	0	0	-0.2168233	0	0	1.464057	
0.3	-0.5108766	0	0	0	0	-0.2172877	0	0	1.46384	
0.301	-0.5088609	0	0	0	0	-0.2177503	0	0	1.463622	
0.302	-0.5068485	0	0	0	0	-0.2182111	0	0	1.463404	
0.303	-0.5048391	0	0	0	0	-0.21867	0	0	1.463185	
0.304	-0.5028344	0	0	0	0	-0.2191271	0	0	1.462966	
0.305	-0.5008329	0	0	0	0	-0.2195824	0	0	1.462747	
0.306	-0.4988352	0	0	0	0	-0.2200359	0	0	1.462527	
0.307	-0.4968422	0	0	0	0	-0.2204876	0	0	1.462306	
0.308	-0.4948524	0	0	0	0	-0.2209375	0	0	1.462085	
0.309	-0.4928665	0	0	0	0	-0.2213856	0	0	1.461864	
0.31	-0.4908844	0	0	0	0	-0.2218318	0	0	1.461642	
0.311	-0.4889063	0	0	0	0	-0.2222763	0	0	1.46142	
0.312	-0.4869328	0	0	0	0	-0.222719	0	0	1.461197	
0.313	-0.4849625	0	0	0	0	-0.2231598	0	0	1.460974	
0.314	-0.4829969	0	0	0	0	-0.2235989	0	0	1.46075	
0.315	-0.4810352	0	0	0	0	-0.2240362	0	0	1.460526	
0.316	-0.4790774	0	0	0	0	-0.2244718	0	0	1.460302	
0.317	-0.4771243	0	0	0	0	-0.2249055	0	0	1.460077	
0.318	-0.4751751	0	0	0	0	-0.2253375	0	0	1.459852	
0.319	-0.4732305	0	0	0	0	-0.2257677	0	0	1.459626	
0.32	-0.4712899	0	0	0	0	-0.2261961	0	0	1.4594	
0.321	-0.4693531	0	0	0	0	-0.2266228	0	0	1.459173	
0.322	-0.4674211	0	0	0	0	-0.2270477	0	0	1.458946	
0.323	-0.465493	0	0	0	0	-0.2274709	0	0	1.458718	
0.324	-0.4635696	0	0	0	0	-0.2278923	0	0	1.45849	
0.325	-0.4616508	0	0	0	0	-0.228312	0	0	1.458262	
