Time	Tension	Length	Ia	II	
2.38	31.63767	0.3343335	65.17169	26.91618	
2.381	31.65221	0.3343335	65.18623	26.91473	
2.382	31.65571	0.3343336	65.18974	26.91439	
2.383	31.64675	0.3343336	65.18077	26.91529	
2.384	31.62474	0.3343337	65.15877	26.91749	
2.385	31.58954	0.3343337	65.12356	26.92102	
2.386	31.55247	0.3343338	65.08649	26.92474	
2.387	31.54928	0.3343339	65.08331	26.92506	
2.388	31.56663	0.334334	65.10065	26.92333	
2.389	31.59331	0.334334	65.12733	26.92067	
2.39	31.62119	0.3343341	65.1552	26.91789	
2.391	31.64434	0.3343342	65.17837	26.91558	
2.392	31.6589	0.3343343	65.19292	26.91413	
2.393	31.66239	0.3343343	65.19641	26.91379	
2.394	31.65342	0.3343344	65.18744	26.9147	
2.395	31.6314	0.3343345	65.16542	26.91691	
2.396	31.59619	0.3343346	65.1302	26.92044	
2.397	31.55906	0.3343347	65.09309	26.92416	
2.398	31.5559	0.3343348	65.08993	26.92448	
2.399	31.57318	0.3343349	65.10719	26.92277	
2.4	31.59988	0.3343349	65.1339	26.9201	
2.401	31.62775	0.3343351	65.16178	26.91733	
2.402	31.65092	0.3343352	65.18494	26.91502	
2.403	31.66544	0.3343353	65.19946	26.91358	
2.404	31.66892	0.3343354	65.20294	26.91324	
2.405	31.65994	0.3343355	65.19396	26.91415	
2.406	31.63791	0.3343356	65.17193	26.91637	
2.407	31.60265	0.3343357	65.13667	26.9199	
2.408	31.56552	0.3343358	65.09954	26.92363	
2.409	31.56234	0.3343359	65.09637	26.92395	
2.41	31.57964	0.3343361	65.11366	26.92224	
2.411	31.60633	0.3343362	65.14035	26.91959	
2.412	31.6342	0.3343363	65.16822	26.91681	
2.413	31.65732	0.3343365	65.19135	26.91451	
2.414	31.67186	0.3343366	65.20589	26.91307	
2.415	31.67533	0.3343368	65.20936	26.91274	
2.416	31.66634	0.3343369	65.20036	26.91365	
2.417	31.64426	0.334337	65.17828	26.91587	
2.418	31.60902	0.3343371	65.14304	26.91941	
2.419	31.57187	0.3343373	65.1059	26.92314	
2.42	31.56872	0.3343375	65.10274	26.92347	
2.421	31.58597	0.3343376	65.12	26.92176	
2.422	31.61265	0.3343378	65.14667	26.91911	
2.423	31.64048	0.3343379	65.17451	26.91634	
2.424	31.6636	0.3343381	65.19762	26.91405	
2.425	31.67809	0.3343382	65.21211	26.91261	
2.426	31.68153	0.3343384	65.21555	26.91228	
2.427	31.67252	0.3343385	65.20654	26.9132	
2.428	31.65049	0.3343387	65.18451	26.91542	
2.429	31.61521	0.3343389	65.14922	26.91897	
2.43	31.57801	0.334339	65.11204	26.9227	
2.431	31.57479	0.3343392	65.1088	26.92304	
2.432	31.59203	0.3343394	65.12605	26.92133	
2.433	31.6187	0.3343395	65.15272	26.91868	
2.434	31.64649	0.3343397	65.18051	26.91592	
2.435	31.66956	0.3343398	65.20358	26.91363	
2.436	31.68399	0.3343399	65.21801	26.9122	
2.437	31.68741	0.3343401	65.22143	26.91187	
2.438	31.67836	0.3343403	65.21238	26.91279	
2.439	31.65623	0.3343404	65.19025	26.91502	
2.44	31.62093	0.3343406	65.15495	26.91857	
2.441	31.5837	0.3343408	65.11771	26.9223	
2.442	31.58043	0.3343409	65.11446	26.92264	
2.443	31.59761	0.334341	65.13163	26.92094	
2.444	31.62421	0.3343412	65.15823	26.9183	
2.445	31.65196	0.3343413	65.18598	26.91554	
2.446	31.675	0.3343415	65.20901	26.91325	
2.447	31.68939	0.3343416	65.22341	26.91182	
2.448	31.69275	0.3343418	65.22676	26.9115	
2.449	31.68366	0.3343419	65.21767	26.91242	
2.45	31.66149	0.3343421	65.19552	26.91466	
2.451	31.62613	0.3343422	65.16015	26.91821	
2.452	31.5888	0.3343423	65.12281	26.92195	
2.453	31.58546	0.3343424	65.11948	26.92229	
2.454	31.6026	0.3343426	65.13663	26.92059	
2.455	31.62914	0.3343427	65.16316	26.91795	
2.456	31.65683	0.3343428	65.19085	26.9152	
2.457	31.67981	0.3343429	65.21383	26.91291	
2.458	31.69417	0.334343	65.22819	26.91149	
2.459	31.69749	0.3343432	65.23151	26.91117	
2.46	31.68831	0.3343433	65.22233	26.9121	
2.461	31.66608	0.3343434	65.2001	26.91433	
2.462	31.63066	0.3343435	65.16467	26.91789	
2.463	31.59329	0.3343436	65.12731	26.92163	
2.464	31.58993	0.3343437	65.12395	26.92198	
2.465	31.60695	0.3343438	65.14097	26.92028	
2.466	31.63343	0.3343439	65.16746	26.91764	
2.467	31.66109	0.334344	65.19511	26.91489	
2.468	31.68401	0.3343441	65.21803	26.91261	
2.469	31.69831	0.3343442	65.23234	26.91118	
2.47	31.70158	0.3343443	65.2356	26.91087	
2.471	31.69234	0.3343444	65.22636	26.9118	
2.472	31.67005	0.3343444	65.20407	26.91404	
2.473	31.63454	0.3343445	65.16856	26.91759	
2.474	31.59715	0.3343446	65.13117	26.92134	
2.475	31.5937	0.3343447	65.12772	26.9217	
2.476	31.61069	0.3343447	65.14471	26.92	
2.477	31.63715	0.3343448	65.17117	26.91736	
2.478	31.6647	0.3343448	65.19872	26.91461	
2.479	31.68757	0.3343449	65.2216	26.91233	
2.48	31.70181	0.334345	65.23584	26.91091	
2.481	31.70497	0.334345	65.23898	26.9106	
2.482	31.69571	0.334345	65.22973	26.91153	
2.483	31.67334	0.3343451	65.20736	26.91377	
2.484	31.6378	0.3343451	65.17182	26.91733	
2.485	31.60036	0.3343452	65.13438	26.92108	
2.486	31.59683	0.3343452	65.13084	26.92143	
2.487	31.61383	0.3343453	65.14786	26.91974	
2.488	31.64021	0.3343453	65.17424	26.91711	
2.489	31.66774	0.3343453	65.20176	26.91436	
2.49	31.69059	0.3343454	65.2246	26.91208	
2.491	31.70478	0.3343454	65.2388	26.91066	
2.492	31.70789	0.3343454	65.24191	26.91035	
2.493	31.69857	0.3343455	65.23259	26.91129	
2.494	31.67619	0.3343455	65.21021	26.91353	
2.495	31.64057	0.3343455	65.17458	26.91709	
2.496	31.60311	0.3343455	65.13712	26.92084	
2.497	31.59956	0.3343455	65.13358	26.9212	
2.498	31.61646	0.3343455	65.15047	26.91951	
2.499	31.64285	0.3343456	65.17686	26.91687	
2.5	31.67032	0.3343456	65.20435	26.91413	
2.501	31.6931	0.3343456	65.22712	26.91185	
2.502	31.70725	0.3343456	65.24126	26.91044	
2.503	31.71036	0.3343456	65.24438	26.91013	
2.504	31.701	0.3343456	65.23502	26.91106	
2.505	31.6786	0.3343457	65.21262	26.9133	
2.506	31.64296	0.3343457	65.17698	26.91687	
2.507	31.59434	0.3343457	65.12836	26.92173	
2.508	31.58222	0.3343457	65.11624	26.92294	
2.509	31.5928	0.3343456	65.12682	26.92188	
2.51	31.6147	0.3343456	65.14872	26.91969	
2.511	31.63923	0.3343456	65.17325	26.91724	
2.512	31.66011	0.3343456	65.19413	26.91515	
2.513	31.67315	0.3343456	65.20717	26.91385	
2.514	31.67566	0.3343456	65.20969	26.91359	
2.515	31.66611	0.3343456	65.20013	26.91455	
2.516	31.64367	0.3343455	65.1777	26.91678	
2.517	31.60827	0.3343455	65.14229	26.92032	
2.518	31.55999	0.3343455	65.09401	26.92515	
2.519	31.54823	0.3343455	65.08225	26.92632	
2.52	31.55935	0.3343455	65.09337	26.92521	
2.521	31.58183	0.3343455	65.11584	26.92297	
2.522	31.6069	0.3343455	65.14091	26.92046	
2.523	31.62839	0.3343455	65.16241	26.9183	
2.524	31.64199	0.3343454	65.17601	26.91694	
2.525	31.6451	0.3343454	65.17912	26.91663	
2.526	31.63613	0.3343454	65.17015	26.91753	
2.527	31.61423	0.3343453	65.14825	26.91971	
2.528	31.57935	0.3343453	65.11337	26.92319	
2.529	31.53161	0.3343453	65.06563	26.92797	
2.53	31.52045	0.3343453	65.05447	26.92908	
2.531	31.53215	0.3343453	65.06617	26.92791	
2.532	31.55521	0.3343453	65.08923	26.92561	
2.533	31.58086	0.3343453	65.11488	26.92304	
2.534	31.60288	0.3343452	65.13691	26.92083	
2.535	31.61704	0.3343452	65.15106	26.91941	
