Time	Contact	Eat	Energy	Hungry	LeftOdor	OS	RightOdor	
0.403	1	0	579.8049	1	295.8654	0	274.2258	
0.404	1	0	579.7549	1	295.8665	0	274.0637	
0.405	1	0	579.705	1	295.8672	0	273.9015	
0.406	1	0	579.655	1	295.8649	0	273.7421	
0.407	1	0.0008000002	579.605	1	295.8622	0	273.5826	
0.408	1	0.0008000002	579.555	1	295.8566	0	273.4258	
0.409	1	0.002368	579.505	1	295.8505	0	273.2689	
0.41	1	0.002368	579.455	1	295.8414	0	273.1148	
0.411	1	0.004672961	579.405	1	295.8319	0	272.9606	
0.412	1	0.004672961	579.355	1	295.8194	0	272.8091	
0.413	1	0.007684776	579.3051	1	295.8065	0	272.6576	
0.414	1	0.007684776	579.2551	1	295.7906	0	272.5088	
0.415	1	0.01137425	579.2051	1	295.7743	0	272.36	
0.416	1	0.01137425	579.1551	1	295.755	0	272.2138	
0.417	1	0.01571307	579.1051	1	295.7352	0	272.0677	
0.418	1	0.01571307	579.0551	1	295.7124	0	271.9243	
0.419	1	0.02067379	579.0051	1	295.6892	0	271.7808	
0.42	1	0.02067379	578.9551	1	295.663	0	271.6402	
0.421	1	0.02622979	578.9052	1	295.6363	0	271.4994	
0.422	1	0.02622979	578.8552	1	295.6067	0	271.3615	
0.423	1	0.03235528	578.8052	1	295.5765	0	271.2234	
0.424	1	0.03235528	578.7552	1	295.5434	0	271.0882	
0.425	1	0.03902527	578.7052	1	295.5098	0	270.9529	
0.426	1	0.03902527	578.6552	1	295.4732	0	270.8205	
0.427	1	0.0462155	578.6052	1	295.4362	0	270.6879	
0.428	1	0.0462155	578.5552	1	295.3961	0	270.5582	
0.429	1	0.05390253	578.5052	1	295.3557	0	270.4283	
0.43	1	0.05390253	578.4553	1	295.3121	0	270.3014	
0.431	1	0.06206358	578.4053	1	295.2682	0	270.1743	
0.432	1	0.06206358	578.3553	1	295.2211	0	270.0501	
0.433	1	0.07067663	578.3053	1	295.1737	0	269.9258	
0.434	1	0.07067663	578.2553	1	295.1233	0	269.8043	
0.435	1	0.07972033	578.2053	1	295.0724	0	269.6827	
0.436	1	0.07972033	578.1553	1	295.0185	0	269.564	
0.437	1	0.08917402	578.1053	1	294.9642	0	269.4452	
0.438	1	0.08917402	578.0554	1	294.9068	0	269.3293	
0.439	1	0.09901768	578.0054	1	294.8491	0	269.2132	
0.44	1	0.09901768	577.9554	1	294.7882	0	269.1	
0.441	1	0.1092319	577.9054	1	294.727	0	268.9867	
0.442	1	0.1092319	577.8554	1	294.6627	0	268.8762	
0.443	1	0.119798	577.8054	1	294.5981	0	268.7657	
0.444	1	0.119798	577.7554	1	294.5303	0	268.6579	
0.445	1	0.1306977	577.7054	1	294.4623	0	268.5502	
0.446	1	0.1306977	577.6555	1	294.3911	0	268.4452	
0.447	1	0.1419135	577.6055	1	294.3196	0	268.3402	
0.448	1	0.1419135	577.5555	1	294.2451	0	268.2379	
0.449	1	0.1534284	577.5055	1	294.1701	0	268.1357	
0.45	1	0.1534284	577.4555	1	294.0921	0	268.0362	
0.451	1	0.165226	577.4055	1	294.0138	0	267.9367	
0.452	1	0.165226	577.3555	1	293.9324	0	267.8399	
0.453	1	0.1772902	577.3055	1	293.8507	0	267.743	
0.454	1	0.1772902	577.2556	1	293.766	0	267.6491	
0.455	1	0.1896058	577.2056	1	293.6809	0	267.5549	
0.456	1	0.1896058	577.1556	1	293.5927	0	267.4637	
0.457	1	0.2021579	577.1056	1	293.5043	0	267.3722	
0.458	1	0.2021579	577.0556	1	293.4128	0	267.2836	
0.459	1	0.214932	577.0056	1	293.321	0	267.1949	
0.46	1	0.214932	576.9556	1	293.2261	0	267.109	
0.461	1	0.2279144	576.9056	1	293.131	0	267.023	
0.462	1	0.2279144	576.8557	1	293.0328	0	266.9398	
0.463	1	0.2410914	576.8057	1	292.9344	0	266.8564	
0.464	1	0.2410914	576.7557	1	292.8329	0	266.7759	
0.465	1	0.2544502	576.7057	1	292.7312	0	266.6952	
0.466	1	0.2544502	576.6557	1	292.6265	0	266.6174	
0.467	1	0.2679782	576.6057	1	292.5215	0	266.5394	
0.468	1	0.2679782	576.5557	1	292.4134	0	266.4641	
0.469	1	0.2816633	576.5057	1	292.3052	0	266.3888	
0.47	1	0.2816633	576.4557	1	292.1938	0	266.3162	
0.471	1	0.2954938	576.4058	1	292.0824	0	266.2434	
0.472	1	0.2954938	576.3558	1	291.9678	0	266.1734	
0.473	1	0.3094585	576.3058	1	291.8531	0	266.1033	
0.474	1	0.3094585	576.2558	1	291.7355	0	266.0359	
0.475	1	0.3232693	576.2058	1	291.6176	0	265.9684	
0.476	1	0.3232693	576.1558	1	291.4967	0	265.9036	
0.477	1	0.3368039	576.1058	1	291.3757	0	265.8387	
0.478	1	0.3368039	576.0558	1	291.2516	0	265.7764	
0.479	1	0.3500679	576.0059	1	291.1274	0	265.714	
0.48	1	0.3500679	575.9559	1	291.0002	0	265.6543	
0.481	1	0.3630665	575.9059	1	290.873	0	265.5944	
0.482	1	0.3630665	575.8559	1	290.7427	0	265.5373	
0.483	1	0.3758052	575.8059	1	290.6123	0	265.4799	
