Time	Y	
0.952	-0.9533368	
0.9530001	-0.9533961	
0.9540001	-0.9533936	
0.955	-0.9533474	
0.956	-0.9532712	
0.957	-0.953175	
0.9580001	-0.953066	
0.9590001	-0.9529495	
0.96	-0.9528294	
0.961	-0.9527084	
0.9620001	-0.9525886	
0.9630001	-0.9524712	
0.964	-0.9523572	
0.965	-0.9522473	
0.966	-0.9521416	
0.9670001	-0.9520405	
0.9680001	-0.9519441	
0.969	-0.9518523	
0.97	-0.951765	
0.9710001	-0.9516821	
0.9720001	-0.9516035	
0.973	-0.951529	
0.974	-0.9514586	
0.975	-0.9513918	
0.9760001	-0.9513287	
0.9770001	-0.951269	
0.978	-0.9512125	
0.979	-0.9511591	
0.98	-0.9511086	
0.9810001	-0.951061	
0.9820001	-0.9510159	
0.983	-0.9509732	
0.984	-0.950933	
0.9850001	-0.950895	
0.9860001	-0.950859	
0.987	-0.950825	
0.988	-0.950793	
0.989	-0.9507627	
0.9900001	-0.9507341	
0.9910001	-0.950707	
0.992	-0.9506814	
0.993	-0.9506573	
0.994	-0.9506345	
0.9950001	-0.950613	
0.9960001	-0.9505926	
0.997	-0.9505734	
0.998	-0.9505553	
0.9990001	-0.9505381	
1	-0.9505219	
1.001	-0.9505066	
1.002	-0.9504921	
1.003	-0.9504785	
1.004	-0.9504656	
1.005	-0.9504534	
1.006	-0.9504418	
1.007	-0.950431	
1.008	-0.9504207	
1.009	-0.950411	
1.01	-0.9504018	
1.011	-0.9503931	
1.012	-0.9503849	
1.013	-0.9503772	
1.014	-0.9503698	
1.015	-0.950363	
1.016	-0.9503565	
1.017	-0.9503503	
1.018	-0.9503445	
1.019	-0.950339	
1.02	-0.9503338	
1.021	-0.9503289	
1.022	-0.9503242	
1.023	-0.9503199	
1.024	-0.9503158	
1.025	-0.9503118	
1.026	-0.9503081	
1.027	-0.9503046	
1.028	-0.9503013	
1.029	-0.9502982	
1.03	-0.9502953	
1.031	-0.9502925	
1.032	-0.9502899	
1.033	-0.9502875	
1.034	-0.9502851	
1.035	-0.950283	
1.036	-0.9502808	
1.037	-0.9502789	
1.038	-0.950277	
1.039	-0.9502752	
1.04	-0.9502736	
1.041	-0.9502721	
1.042	-0.9502706	
1.043	-0.9502692	
1.044	-0.9502678	
1.045	-0.9502665	
1.046	-0.9502654	
1.047	-0.9502643	
1.048	-0.9502632	
1.049	-0.9502622	
1.05	-0.9502613	
1.051	-0.9502605	
1.052	-0.9502596	
1.053	-0.9502589	
1.054	-0.9502581	
1.055	-0.9502574	
1.056	-0.9502568	
1.057	-0.950256	
1.058	-0.9502555	
1.059	-0.9502549	
1.06	-0.9502544	
1.061	-0.9502539	
1.062	-0.9502534	
1.063	-0.950253	
1.064	-0.9502525	
1.065	-0.9502522	
1.066	-0.9502518	
1.067	-0.9502514	
1.068	-0.950251	
1.069	-0.9502507	
1.07	-0.9502504	
1.071	-0.9502501	
1.072	-0.9502499	
1.073	-0.9502496	
1.074	-0.9502493	
1.075	-0.9502491	
1.076	-0.9502489	
1.077	-0.9502487	
1.078	-0.9502485	
1.079	-0.9502484	
1.08	-0.9502482	
1.081	-0.9502479	
1.082	-0.9502478	
1.083	-0.9502477	
1.084	-0.9502476	
1.085	-0.9502475	
1.086	-0.9502474	
1.087	-0.9502473	
1.088	-0.9502472	
1.089	-0.9502471	
1.09	-0.950247	
1.091	-0.9502469	
1.092	-0.9502468	
1.093	-0.9502468	
1.094	-0.9502466	
1.095	-0.9502465	
1.096	-0.9502465	
1.097	-0.9502463	
1.098	-0.9502463	
1.099	-0.9502462	
1.1	-0.950246	
1.101	-0.950246	
1.102	-0.950246	
1.103	-0.950246	
1.104	-0.950246	
1.105	-0.950246	
1.106	-0.950246	
1.107	-0.950246	
1.108	-0.950246	
1.109	-0.950246	
1.11	-0.950246	
1.111	-0.950246	
1.112	-0.950246	
1.113	-0.950246	
1.114	-0.950246	
1.115	-0.950246	
1.116	-0.950246	
1.117	-0.950246	
1.118	-0.950246	
1.119	-0.950246	
1.12	-0.950246	
1.121	-0.950246	
1.122	-0.950246	
1.123	-0.950246	
1.124	-0.950246	
1.125	-0.950246	
1.126	-0.950246	
1.127	-0.950246	
1.128	-0.950246	
1.129	-0.950246	
1.13	-0.950246	
