Time	A1	A2	A3	A4	A5	A6	
38.87	0	0	0	0	0.04036629	6.569615E-06	
38.872	0	0	0	0	0.04031247	6.560869E-06	
38.874	0	0	0	0	0.04025877	6.552124E-06	
38.876	0	0	0	0	0.04020512	6.543392E-06	
38.878	0	0	0	0	0.04015154	6.534676E-06	
38.88	0	0	0	0	0.04009807	6.525974E-06	
38.882	0	0	0	0	0.04004461	6.517272E-06	
38.884	0	0	0	0	0.03999132	6.508584E-06	
38.886	0	0	0	0	0.03993803	6.499911E-06	
38.888	0	0	0	0	0.03988481	6.491253E-06	
38.89	0	0	0	0	0.0398317	6.482609E-06	
38.892	0	0	0	0	0.03977865	6.473965E-06	
38.894	0	0	0	0	0.03972566	6.46535E-06	
38.896	0	0	0	0	0.03967279	6.456754E-06	
38.898	0	0	0	0	0.03961986	6.448157E-06	
38.9	0	0	0	0	0.03956705	6.439572E-06	
38.902	0	0	0	0	0.0395143	6.430986E-06	
38.904	0	0	0	0	0.03946161	6.42243E-06	
38.906	0	0	0	0	0.03940904	6.413873E-06	
38.908	0	0	0	0	0.03935653	6.405317E-06	
38.91	0	0	0	0	0.03930408	6.396789E-06	
38.912	0	0	0	0	0.03925169	6.388262E-06	
38.914	0	0	0	0	0.03919935	6.379749E-06	
38.916	0	0	0	0	0.03914714	6.371269E-06	
38.918	0	0	0	0	0.03909498	6.362785E-06	
38.92	0	0	0	0	0.03904289	6.354301E-06	
38.922	0	0	0	0	0.03899091	6.345832E-06	
38.924	0	0	0	0	0.03893894	6.337377E-06	
38.926	0	0	0	0	0.03888708	6.328919E-06	
38.928	0	0	0	0	0.03883535	6.320493E-06	
38.93	0	0	0	0	0.03878355	6.312068E-06	
38.932	0	0	0	0	0.03873187	6.303639E-06	
38.934	0	0	0	0	0.0386802	6.295228E-06	
38.936	0	0	0	0	0.03862864	6.286828E-06	
38.938	0	0	0	0	0.03857714	6.278427E-06	
38.94	0	0	0	0	0.03852576	6.27006E-06	
38.942	0	0	0	0	0.03847444	6.261707E-06	
38.944	0	0	0	0	0.03842318	6.253351E-06	
38.946	0	0	0	0	0.03837198	6.245031E-06	
38.948	0	0	0	0	0.03832084	6.236722E-06	
38.95	0	0	0	0	0.03826982	6.22838E-06	
38.952	0	0	0	0	0.03821886	6.220085E-06	
38.954	0	0	0	0	0.03816789	6.211787E-06	
38.956	0	0	0	0	0.03811699	6.203507E-06	
38.958	0	0	0	0	0.03806621	6.195241E-06	
38.96	0	0	0	0	0.03801548	6.186958E-06	
38.962	0	0	0	0	0.03796482	6.178721E-06	
38.964	0	0	0	0	0.03791422	6.170481E-06	
38.966	0	0	0	0	0.03786367	6.16226E-06	
38.968	0	0	0	0	0.03781325	6.154038E-06	
38.97	0	0	0	0	0.03776288	6.145845E-06	
38.972	0	0	0	0	0.03771263	6.137634E-06	
38.974	0	0	0	0	0.03766239	6.129456E-06	
38.976	0	0	0	0	0.03761214	6.121274E-06	
38.978	0	0	0	0	0.03756201	6.11311E-06	
38.98	0	0	0	0	0.03751194	6.104961E-06	
38.982	0	0	0	0	0.03746194	6.096827E-06	
38.984	0	0	0	0	0.03741205	6.088707E-06	
38.986	0	0	0	0	0.03736222	6.080583E-06	
38.988	0	0	0	0	0.03731245	6.072478E-06	
38.99	0	0	0	0	0.03726274	6.064387E-06	
38.992	0	0	0	0	0.03721315	6.056311E-06	
38.994	0	0	0	0	0.0371635	6.048234E-06	
38.996	0	0	0	0	0.03711396	6.040187E-06	
38.998	0	0	0	0	0.03706449	6.03214E-06	
39	0	0	0	0	0.03701508	6.024093E-06	
39.002	0	0	0	0	0.03696579	6.01606E-06	
39.004	0	0	0	0	0.03691649	6.008042E-06	
39.006	0	0	0	0	0.03686732	6.000038E-06	
39.008	0	0	0	0	0.03681821	5.992049E-06	
