Time	Angle	
2.091	0.7387791	
2.092	0.73791	
2.093	0.7370394	
2.094	0.7361677	
2.095	0.7352947	
2.096	0.7344204	
2.097	0.7335446	
2.098	0.7326677	
2.099	0.7317895	
2.1	0.7309099	
2.101	0.7300289	
2.102	0.7291467	
2.103	0.7282631	
2.104	0.7273782	
2.105	0.7264919	
2.106	0.7256045	
2.107	0.7247155	
2.108	0.7238256	
2.109	0.7229341	
2.11	0.7220413	
2.111	0.7211473	
2.112	0.7202519	
2.113	0.7193553	
2.114	0.7184574	
2.115	0.7175583	
2.116	0.7166578	
2.117	0.7157559	
2.118	0.7148529	
2.119	0.7139485	
2.12	0.7130429	
2.121	0.712136	
2.122	0.7112278	
2.123	0.7103184	
2.124	0.7094077	
2.125	0.7084956	
2.126	0.7075822	
2.127	0.7066677	
2.128	0.7057518	
2.129	0.7048346	
2.13	0.7039162	
2.131	0.7029964	
2.132	0.7020754	
2.133	0.7011532	
2.134	0.7002296	
2.135	0.6993049	
2.136	0.6983789	
2.137	0.6974515	
2.138	0.696523	
2.139	0.6955931	
2.14	0.694662	
2.141	0.6937296	
2.142	0.6927961	
2.143	0.6918612	
2.144	0.6909251	
2.145	0.6899877	
2.146	0.6890491	
2.147	0.6881092	
2.148	0.6871681	
2.149	0.6862257	
2.15	0.6852821	
2.151	0.6843372	
2.152	0.6833912	
2.153	0.6824439	
2.154	0.6814952	
2.155	0.6805453	
2.156	0.6795943	
2.157	0.678642	
2.158	0.6776884	
2.159	0.6767336	
2.16	0.6757776	
2.161	0.6748205	
2.162	0.673862	
2.163	0.6729023	
2.164	0.6719413	
2.165	0.6709792	
2.166	0.6700159	
2.167	0.6690512	
2.168	0.6680855	
2.169	0.6671184	
2.17	0.6661503	
2.171	0.6651809	
2.172	0.6642103	
2.173	0.6632384	
2.174	0.6622654	
2.175	0.6612911	
2.176	0.6603156	
2.177	0.6593389	
2.178	0.658361	
2.179	0.6573819	
2.18	0.6564015	
2.181	0.65542	
2.182	0.6544372	
2.183	0.6534532	
2.184	0.6524682	
2.185	0.6514819	
2.186	0.6504944	
2.187	0.6495056	
2.188	0.6485158	
2.189	0.6475248	
2.19	0.6465326	
2.191	0.6455392	
2.192	0.6445444	
2.193	0.6435486	
2.194	0.6425517	
2.195	0.6415534	
2.196	0.6405541	
2.197	0.6395537	
2.198	0.638552	
2.199	0.637549	
2.2	0.6365451	
2.201	0.6355399	
2.202	0.6345335	
2.203	0.633526	
2.204	0.6325172	
2.205	0.6315073	
2.206	0.6304964	
2.207	0.6294841	
2.208	0.6284708	
2.209	0.6274564	
2.21	0.6264407	
2.211	0.6254238	
2.212	0.6244059	
2.213	0.6233868	
2.214	0.6223665	
2.215	0.621345	
2.216	0.6203225	
2.217	0.6192989	
2.218	0.618274	
2.219	0.6172481	
2.22	0.6162209	
2.221	0.6151927	
2.222	0.6141633	
2.223	0.6131327	
2.224	0.6121011	
2.225	0.6110682	
2.226	0.6100343	
2.227	0.6089993	
2.228	0.6079631	
2.229	0.6069258	
2.23	0.6058874	
2.231	0.6048478	
2.232	0.6038072	
2.233	0.6027654	
2.234	0.6017225	
2.235	0.6006786	
2.236	0.5996335	
2.237	0.5985873	
2.238	0.5975399	
2.239	0.5964915	
2.24	0.595442	
2.241	0.5943913	
2.242	0.5933396	
2.243	0.5922867	
2.244	0.5912327	
2.245	0.5901776	
2.246	0.5891215	
2.247	0.5880643	
2.248	0.5870059	
2.249	0.5859464	
2.25	0.584886	
2.251	0.5838245	
2.252	0.5827618	
2.253	0.5816981	
2.254	0.5806332	
2.255	0.5795674	
2.256	0.5785003	
2.257	0.5774323	
2.258	0.5763631	
2.259	0.5752929	
2.26	0.5742217	
2.261	0.5731493	
2.262	0.5720759	
2.263	0.5710014	
2.264	0.5699259	
2.265	0.5688494	
2.266	0.5677717	
2.267	0.5666929	
2.268	0.5656131	
2.269	0.5645322	
2.27	0.5634503	
2.271	0.5623674	
2.272	0.5612835	
2.273	0.5601984	
2.274	0.5591124	
2.275	0.5580252	
2.276	0.5569371	
2.277	0.5558478	
2.278	0.5547576	
2.279	0.5536664	
