Time	Angle	
2.117	0.9849162	
2.118	0.9838976	
2.119	0.9828774	
2.12	0.9818556	
2.121	0.9808322	
2.122	0.9798071	
2.123	0.9787804	
2.124	0.9777521	
2.125	0.9767222	
2.126	0.9756905	
2.127	0.9746574	
2.128	0.9736226	
2.129	0.9725862	
2.13	0.971548	
2.131	0.9705084	
2.132	0.9694671	
2.133	0.9684242	
2.134	0.9673796	
2.135	0.9663335	
2.136	0.9652858	
2.137	0.9642364	
2.138	0.9631854	
2.139	0.9621328	
2.14	0.9610786	
2.141	0.9600228	
2.142	0.9589654	
2.143	0.9579064	
2.144	0.9568458	
2.145	0.9557836	
2.146	0.9547198	
2.147	0.9536543	
2.148	0.9525873	
2.149	0.9515187	
2.15	0.9504485	
2.151	0.9493767	
2.152	0.9483032	
2.153	0.9472282	
2.154	0.9461517	
2.155	0.9450734	
2.156	0.9439937	
2.157	0.9429123	
2.158	0.9418293	
2.159	0.9407448	
2.16	0.9396587	
2.161	0.938571	
2.162	0.9374818	
2.163	0.9363909	
2.164	0.9352986	
2.165	0.9342045	
2.166	0.9331089	
2.167	0.9320117	
2.168	0.930913	
2.169	0.9298127	
2.17	0.9287108	
2.171	0.9276074	
2.172	0.9265024	
2.173	0.9253958	
2.174	0.9242876	
2.175	0.9231778	
2.176	0.9220665	
2.177	0.9209537	
2.178	0.9198393	
2.179	0.9187233	
2.18	0.9176058	
2.181	0.9164867	
2.182	0.9153661	
2.183	0.9142439	
2.184	0.91312	
2.185	0.9119947	
2.186	0.9108679	
2.187	0.9097394	
2.188	0.9086094	
2.189	0.907478	
2.19	0.9063449	
2.191	0.9052103	
2.192	0.9040742	
2.193	0.9029366	
2.194	0.9017974	
2.195	0.9006567	
2.196	0.8995144	
2.197	0.8983706	
2.198	0.8972253	
2.199	0.8960783	
2.2	0.8949299	
2.201	0.8937801	
2.202	0.8926286	
2.203	0.8914756	
2.204	0.8903211	
2.205	0.889165	
2.206	0.8880074	
2.207	0.8868483	
2.208	0.8856876	
2.209	0.8845256	
2.21	0.8833619	
2.211	0.8821967	
2.212	0.8810301	
2.213	0.8798618	
2.214	0.878692	
2.215	0.8775209	
2.216	0.8763482	
2.217	0.875174	
2.218	0.8739982	
2.219	0.872821	
2.22	0.8716424	
2.221	0.870462	
2.222	0.8692802	
2.223	0.868097	
2.224	0.8669123	
2.225	0.8657261	
2.226	0.8645383	
2.227	0.8633491	
2.228	0.8621584	
2.229	0.8609661	
2.23	0.8597724	
2.231	0.8585773	
2.232	0.8573807	
2.233	0.8561826	
2.234	0.854983	
2.235	0.853782	
2.236	0.8525794	
2.237	0.8513754	
2.238	0.85017	
2.239	0.8489629	
2.24	0.8477545	
2.241	0.8465446	
2.242	0.8453332	
2.243	0.8441204	
2.244	0.8429061	
2.245	0.8416904	
2.246	0.8404731	
2.247	0.8392544	
2.248	0.8380342	
2.249	0.8368126	
2.25	0.8355895	
2.251	0.834365	
2.252	0.8331389	
2.253	0.8319115	
2.254	0.8306826	
2.255	0.8294523	
2.256	0.8282205	
2.257	0.8269872	
2.258	0.8257526	
2.259	0.8245164	
2.26	0.8232788	
2.261	0.8220398	
2.262	0.8207994	
2.263	0.8195575	
2.264	0.8183142	
2.265	0.8170695	
2.266	0.8158233	
2.267	0.8145757	
2.268	0.8133267	
2.269	0.8120762	
2.27	0.8108244	
2.271	0.8095711	
2.272	0.8083163	
2.273	0.8070602	
2.274	0.8058026	
2.275	0.8045437	
2.276	0.8032833	
2.277	0.8020214	
2.278	0.8007583	
2.279	0.7994937	
2.28	0.7982277	
2.281	0.7969602	
2.282	0.7956914	
2.283	0.7944212	
2.284	0.7931497	
2.285	0.7918767	
2.286	0.7906022	
2.287	0.7893264	
2.288	0.7880492	
2.289	0.7867706	
2.29	0.7854907	
2.291	0.7842094	
2.292	0.7829266	
2.293	0.7816424	
2.294	0.7803569	
2.295	0.7790701	
2.296	0.7777817	
2.297	0.7764921	
2.298	0.7752011	
2.299	0.7739087	
2.3	0.7726149	
2.301	0.7713198	
2.302	0.7700233	
2.303	0.7687255	
2.304	0.7674261	
2.305	0.7661257	
2.306	0.7648237	
2.307	0.7635204	
2.308	0.7622157	
2.309	0.7609097	
2.31	0.7596024	
2.311	0.7582937	
2.312	0.7569836	
2.313	0.7556722	
2.314	0.7543594	
2.315	0.7530453	
2.316	0.7517299	
2.317	0.7504131	
2.318	0.749095	
2.319	0.7477755	
2.32	0.7464547	
2.321	0.7451326	
2.322	0.7438092	
2.323	0.7424845	
2.324	0.7411584	
2.325	0.7398309	
2.326	0.738502	
2.327	0.737172	
2.328	0.7358406	
2.329	0.734508	
2.33	0.733174	
2.331	0.7318386	
2.332	0.730502	
2.333	0.7291641	
2.334	0.7278247	
2.335	0.7264842	
2.336	0.7251424	
2.337	0.7237993	
2.338	0.7224548	
2.339	0.721109	
2.34	0.719762	
2.341	0.7184137	
2.342	0.717064	
2.343	0.7157131	
2.344	0.7143609	
2.345	0.7130075	
2.346	0.7116526	
2.347	0.7102966	
2.348	0.7089393	
2.349	0.7075807	
2.35	0.7062208	
2.351	0.7048596	
2.352	0.7034972	
2.353	0.7021335	
2.354	0.7007685	
2.355	0.6994023	
2.356	0.6980348	
2.357	0.6966661	
2.358	0.695296	
2.359	0.6939248	
2.36	0.6925523	
2.361	0.6911786	
2.362	0.6898035	
2.363	0.6884273	
2.364	0.6870497	
