Time	Rotation	
1.2536	0.3092464	
1.254	0.3111142	
1.2544	0.3129667	
1.2548	0.3148033	
1.2552	0.3166235	
1.2556	0.318427	
1.256	0.320213	
1.2564	0.3219811	
1.2568	0.323731	
1.2572	0.3254619	
1.2576	0.3271734	
1.258	0.3288651	
1.2584	0.3305363	
1.2588	0.3321866	
1.2592	0.3338157	
1.2596	0.3354229	
1.26	0.3370078	
1.2604	0.3385699	
1.2608	0.3401088	
1.2612	0.3416239	
1.2616	0.3431149	
1.262	0.3445812	
1.2624	0.3460225	
1.2628	0.3474382	
1.2632	0.3488279	
1.2636	0.3501913	
1.264	0.3515279	
1.2644	0.3528373	
1.2648	0.3541191	
1.2652	0.3553729	
1.2656	0.3565983	
1.266	0.357795	
1.2664	0.3589625	
1.2668	0.3601004	
1.2672	0.3612086	
1.2676	0.3622865	
1.268	0.3633339	
1.2684	0.3643505	
1.2688	0.3653359	
1.2692	0.3662898	
1.2696	0.3672118	
1.27	0.3681019	
1.2704	0.3689596	
1.2708	0.3697848	
1.2712	0.3705771	
1.2716	0.3713364	
1.272	0.3720624	
1.2724	0.3727549	
1.2728	0.3734137	
1.2732	0.3740385	
1.2736	0.3746294	
1.274	0.3751859	
1.2744	0.3757082	
1.2748	0.3761958	
1.2752	0.3766489	
1.2756	0.3770671	
1.276	0.3774505	
1.2764	0.3777989	
1.2768	0.3781123	
1.2772	0.3783906	
1.2776	0.3786338	
1.278	0.3788417	
1.2784	0.3790145	
1.2788	0.3791521	
1.2792	0.3792545	
1.2796	0.3793216	
1.28	0.3793536	
1.2804	0.3793505	
1.2808	0.3793124	
1.2812	0.3792393	
1.2816	0.3791312	
1.282	0.3789883	
1.2824	0.3788106	
1.2828	0.3785984	
1.2832	0.3783517	
1.2836	0.3780708	
1.284	0.3777556	
1.2844	0.3774065	
1.2848	0.3770235	
1.2852	0.376607	
1.2856	0.3761571	
1.286	0.375674	
1.2864	0.375158	
1.2868	0.3746092	
1.2872	0.374028	
1.2876	0.3734146	
1.288	0.3727692	
1.2884	0.3720923	
1.2888	0.371384	
1.2892	0.3706447	
1.2896	0.3698747	
1.29	0.3690743	
1.2904	0.3682437	
1.2908	0.3673836	
1.2912	0.3664941	
1.2916	0.3655756	
1.292	0.3646286	
1.2924	0.3636532	
1.2928	0.3626501	
1.2932	0.3616195	
1.2936	0.3605618	
1.294	0.3594775	
1.2944	0.3583671	
1.2948	0.3572309	
1.2952	0.3560693	
1.2956	0.3548828	
1.296	0.3536718	
1.2964	0.3524368	
1.2968	0.3511783	
1.2972	0.3498967	
1.2976	0.3485925	
1.298	0.3472661	
1.2984	0.345918	
1.2988	0.3445487	
1.2992	0.3431588	
1.2996	0.3417486	
1.3	0.3403187	
1.3004	0.3388695	
1.3008	0.3374016	
1.3012	0.3359154	
1.3016	0.3344115	
1.302	0.3328904	
1.3024	0.3313526	
1.3028	0.3297985	
1.3032	0.3282287	
1.3036	0.3266437	
1.304	0.325044	
1.3044	0.3234302	
1.3048	0.3218026	
1.3052	0.3201618	
1.3056	0.3185084	
1.306	0.3168427	
1.3064	0.3151655	
1.3068	0.3134771	
1.3072	0.3117781	
