Time	Top_MN	Bottom_FF	Top_A	Bottom_A	Top_Tension	Bottom_Tension	Top_Length	
1.7688	0.3899991	0	0.3899991	0	1.001581	0	0.05001872	
1.7692	0.3899991	0	0.3899991	0	1.001581	0	0.05001873	
1.7696	0.3899991	0	0.3899991	0	1.001582	0	0.05001874	
1.77	0.3899991	0	0.3899991	0	1.001582	0	0.05001874	
1.7704	0.3899991	0	0.3899991	0	1.001584	0	0.05001875	
1.7708	0.3899991	0	0.3899991	0	1.001582	0	0.05001875	
1.7712	0.3899991	0	0.3899991	0	1.00158	0	0.05001875	
1.7716	0.3899991	0	0.3899991	0	1.001578	0	0.05001875	
1.772	0.3899991	0	0.3899991	0	1.001573	0	0.05001874	
1.7724	0.3899991	0	0.3899991	0	1.001569	0	0.05001874	
1.7728	0.3899991	0	0.3899991	0	1.001564	0	0.05001873	
1.7732	0.3899991	0	0.3899991	0	1.001556	0	0.05001872	
1.7736	0.3899991	0	0.3899991	0	1.001549	0	0.05001871	
1.774	0.3899991	0	0.3899991	0	1.001541	0	0.05001869	
1.7744	0.3899991	0	0.3899991	0	1.00153	0	0.05001868	
1.7748	0.3899991	0	0.3899991	0	1.001519	0	0.05001866	
1.7752	0.3899991	0	0.3899991	0	1.001508	0	0.05001864	
1.7756	0.3899991	0	0.3899991	0	1.001497	0	0.05001862	
1.776	0.3899991	0	0.3899991	0	1.001484	0	0.0500186	
1.7764	0.3899991	0	0.3899991	0	1.001471	0	0.05001858	
1.7768	0.3899991	0	0.3899991	0	1.001457	0	0.05001855	
1.7772	0.3899991	0	0.3899991	0	1.00144	0	0.05001852	
1.7776	0.3899991	0	0.3899991	0	1.001424	0	0.05001849	
1.778	0.3899991	0	0.3899991	0	1.001407	0	0.05001846	
1.7784	0.3899991	0	0.3899991	0	1.001389	0	0.05001843	
1.7788	0.3899991	0	0.3899991	0	1.001372	0	0.0500184	
1.7792	0.3899991	0	0.3899991	0	1.001352	0	0.05001836	
1.7796	0.3899991	0	0.3899991	0	1.00133	0	0.05001832	
1.78	0.3899991	0	0.3899991	0	1.00131	0	0.05001828	
1.7804	0.3899991	0	0.3899991	0	1.001289	0	0.05001824	
1.7808	0.3899991	0	0.3899991	0	1.001267	0	0.0500182	
1.7812	0.3899991	0	0.3899991	0	1.001241	0	0.05001815	
1.7816	0.3899991	0	0.3899991	0	1.00122	0	0.05001811	
1.782	0.3899991	0	0.3899991	0	1.001194	0	0.05001806	
1.7824	0.3899991	0	0.3899991	0	1.001169	0	0.05001801	
1.7828	0.3899991	0	0.3899991	0	1.001142	0	0.05001796	
1.7832	0.3899991	0	0.3899991	0	1.001117	0	0.05001791	
1.7836	0.3899991	0	0.3899991	0	1.00109	0	0.05001786	
1.784	0.3899991	0	0.3899991	0	1.001061	0	0.0500178	
1.7844	0.3899991	0	0.3899991	0	1.001034	0	0.05001775	
1.7848	0.3899991	0	0.3899991	0	1.001003	0	0.05001769	
1.7852	0.3899991	0	0.3899991	0	1.000975	0	0.05001764	
1.7856	0.3899991	0	0.3899991	0	1.000944	0	0.05001758	
1.786	0.3899991	0	0.3899991	0	1.000914	0	0.05001752	
1.7864	0.3899991	0	0.3899991	0	1.000883	0	0.05001746	
1.7868	0.3899991	0	0.3899991	0	1.000851	0	0.05001739	
1.7872	0.3899991	0	0.3899991	0	1.000821	0	0.05001733	
1.7876	0.3899991	0	0.3899991	0	1.000787	0	0.05001727	
1.788	0.3899991	0	0.3899991	0	1.000755	0	0.0500172	
1.7884	0.3899991	0	0.3899991	0	1.000721	0	0.05001714	
1.7888	0.3899991	0	0.3899991	0	1.000688	0	0.05001707	
