Time	A	D	ElbowActualVel	ElbowPos	ElbowSetVel	FB	P	PhysicsStep	RealVsSim	
0.0485	-0.06	0	1.000166	0.04749256	1	0.309959	0	0.000241	0.054812	
0.04875	-0.06	0	1.000166	0.04799264	1	0.309959	0	0.000241	0.054812	
0.049	-0.06	0	1.000166	0.04799264	1	0.309959	0	0.000236	0.055316	
0.04925	-0.06	0	1.000166	0.04849272	1	0.309959	0	0.000236	0.055316	
0.0495	-0.06	0	1.000166	0.04849272	1	0.309959	0	0.00026	0.055821	
0.04975	-0.06	0	1.000166	0.04899281	1	0.3227912	0	0.00026	0.055821	
0.05	-0.06	0	1.000166	0.04899281	1	0.3227912	0	0.000238	0.056326	
0.05025	-0.06	0	1.000166	0.04949289	1	0.3227912	0	0.000238	0.056326	
0.0505	-0.06	0	1.000166	0.04949289	1	0.3227912	0	0.00024	0.05683	
0.05075	-0.06	0	1.000166	0.04999297	1	0.3227912	0	0.00024	0.05683	
0.051	-0.06	0	1.000166	0.04999297	1	0.3227912	0	0.000237	0.057334	
0.05125	-0.06	0	1.000173	0.05049306	1	0.3227912	0	0.000237	0.057334	
0.0515	-0.06	0	1.000173	0.05049306	1	0.3227912	0	0.000263	0.057838	
0.05175	-0.06	0	1.000166	0.05099314	1	0.3227912	0	0.000263	0.057838	
0.052	-0.06	0	1.000166	0.05099314	1	0.3227912	0	0.000238	0.058341	
0.05225	-0.06	0	1.000166	0.05149322	1	0.3353338	0	0.000238	0.058341	
0.0525	-0.06	0	1.000166	0.05149322	1	0.3353338	0	0.000241	0.058845	
0.05275	-0.06	0	1.000166	0.05199331	1	0.3353338	0	0.000241	0.058845	
0.053	-0.06	0	1.000166	0.05199331	1	0.3353338	0	0.000241	0.059348	
0.05325	-0.06	0	1.000166	0.05249339	1	0.3353338	0	0.000241	0.059348	
0.0535	-0.06	0	1.000166	0.05249339	1	0.3353338	0	0.000241	0.059852	
0.05375	-0.06	0	1.000166	0.05299347	1	0.3353338	0	0.000241	0.059852	
0.054	-0.06	0	1.000166	0.05299347	1	0.3353338	0	0.000259	0.060356	
0.05425	-0.06	0	1.000166	0.05349356	1	0.3353338	0	0.000259	0.060356	
0.0545	-0.06	0	1.000166	0.05349356	1	0.3353338	0	0.00024	0.06086	
0.05475	-0.06	0	1.000166	0.05399364	1	0.3475941	0	0.00024	0.06086	
0.055	-0.06	0	1.000166	0.05399364	1	0.3475941	0	0.000227	0.061363	
0.05525	-0.06	0	1.000166	0.05449372	1	0.3475941	0	0.000227	0.061363	
0.0555	-0.06	0	1.000166	0.05449372	1	0.3475941	0	0.000233	0.061866	
0.05575	-0.06	0	1.000166	0.0549938	1	0.3475941	0	0.000233	0.061866	
0.056	-0.06	0	1.000166	0.0549938	1	0.3475941	0	0.000227	0.06237	
0.05625	-0.06	0	1.000173	0.05549389	1	0.3475941	0	0.000227	0.06237	
0.0565	-0.06	0	1.000173	0.05549389	1	0.3475941	0	0.000231	0.062873	
0.05675	-0.06	0	1.000166	0.05599397	1	0.3475941	0	0.000231	0.062873	
0.057	-0.06	0	1.000166	0.05599397	1	0.3475941	0	0.000226	0.063377	
0.05725	-0.06	0	1.000166	0.05649406	1	0.3595792	0	0.000226	0.063377	
0.0575	-0.06	0	1.000166	0.05649406	1	0.3595792	0	0.00023	0.063881	
0.05775	-0.06	0	1.000166	0.05699414	1	0.3595792	0	0.00023	0.063881	
0.058	-0.06	0	1.000166	0.05699414	1	0.3595792	0	0.000226	0.064385	
0.05825	-0.06	0	1.000166	0.05749422	1	0.3595792	0	0.000226	0.064385	
0.0585	-0.06	0	1.000166	0.05749422	1	0.3595792	0	0.000231	0.064889	
0.05875	-0.06	0	1.000166	0.05799431	1	0.3595792	0	0.000231	0.064889	
0.059	-0.06	0	1.000166	0.05799431	1	0.3595792	0	0.000227	0.065392	
0.05925	-0.06	0	1.000166	0.05849439	1	0.3595792	0	0.000227	0.065392	
0.0595	-0.06	0	1.000166	0.05849439	1	0.3595792	0	0.000233	0.065896	
0.05975	-0.06	0	1.000166	0.05899447	1	0.3712959	0	0.000233	0.065896	
0.06	-0.06	0	1.000166	0.05899447	1	0.3712959	0	0.000227	0.0664	
0.06025	-0.06	0	1.000166	0.05949455	1	0.3712959	0	0.000227	0.0664	
0.0605	-0.06	0	1.000166	0.05949455	1	0.3712959	0	0.00024	0.066904	
0.06075	-0.06	0	1.000166	0.05999464	1	0.3712959	0	0.00024	0.066904	
0.061	-0.06	0	1.000166	0.05999464	1	0.3712959	0	0.000227	0.067408	
0.06125	-0.06	0	1.000166	0.06049472	1	0.3712959	0	0.000227	0.067408	
0.0615	-0.06	0	1.000166	0.06049472	1	0.3712959	0	0.000231	0.067911	
0.06175	-0.06	0	1.000166	0.0609948	1	0.3712959	0	0.000231	0.067911	
0.062	-0.06	0	1.000166	0.0609948	1	0.3712959	0	0.000226	0.068415	
0.06225	-0.06	0	1.000166	0.06149489	1	0.382751	0	0.000226	0.068415	
0.0625	-0.06	0	1.000166	0.06149489	1	0.382751	0	0.000241	0.068919	
0.06275	-0.06	0	1.000166	0.06199497	1	0.382751	0	0.000241	0.068919	
0.063	-0.06	0	1.000166	0.06199497	1	0.382751	0	0.000227	0.069423	
0.06325001	-0.06	0	1.000166	0.06249505	1	0.382751	0	0.000227	0.069423	
0.0635	-0.06	0	1.000166	0.06249505	1	0.382751	0	0.00023	0.069927	
0.06375001	-0.06	0	1.000166	0.06299514	1	0.382751	0	0.00023	0.069927	
0.064	-0.06	0	1.000166	0.06299514	1	0.382751	0	0.000227	0.07043	
0.06425	-0.06	0	1.000166	0.06349522	1	0.382751	0	0.000227	0.07043	
0.0645	-0.06	0	1.000166	0.06349522	1	0.382751	0	0.000234	0.070934	
0.06475	-0.06	0	1.000166	0.0639953	1	0.3939509	0	0.000234	0.070934	
0.06500001	-0.06	0	1.000166	0.0639953	1	0.3939509	0	0.000227	0.071438	
0.06525	-0.06	0	1.000166	0.06449538	1	0.3939509	0	0.000227	0.071438	
0.06550001	-0.06	0	1.000166	0.06449538	1	0.3939509	0	0.000227	0.071942	
0.06575	-0.06	0	1.000166	0.06499547	1	0.3939509	0	0.000227	0.071942	
0.066	-0.06	0	1.000166	0.06499547	1	0.3939509	0	0.000237	0.072445	
0.06625	-0.06	0	1.000166	0.06549555	1	0.3939509	0	0.000237	0.072445	
0.0665	-0.06	0	1.000166	0.06549555	1	0.3939509	0	0.000227	0.07578	
0.06675	-0.06	0	1.000166	0.06599563	1	0.3939509	0	0.000227	0.07578	
0.067	-0.06	0	1.000166	0.06599563	1	0.3939509	0	0.000274	0.076284	
0.06725001	-0.06	0	1.000166	0.06649572	1	0.404902	0	0.000274	0.076284	
0.0675	-0.06	0	1.000166	0.06649572	1	0.404902	0	0.00024	0.076788	
0.06775001	-0.06	0	1.000166	0.0669958	1	0.404902	0	0.00024	0.076788	
0.068	-0.06	0	1.000166	0.0669958	1	0.404902	0	0.000239	0.077292	
0.06825	-0.06	0	1.000166	0.06749588	1	0.404902	0	0.000239	0.077292	
0.0685	-0.06	0	1.000166	0.06749588	1	0.404902	0	0.000228	0.077796	
0.06875	-0.06	0	1.000166	0.06799597	1	0.404902	0	0.000228	0.077796	
0.06900001	-0.06	0	1.000166	0.06799597	1	0.404902	0	0.000226	0.078299	
0.06925	-0.06	0	1.000166	0.06849605	1	0.404902	0	0.000226	0.078299	
0.06950001	-0.06	0	1.000166	0.06849605	1	0.404902	0	0.000228	0.078803	
0.06975	-0.06	0	1.000166	0.06899613	1	0.4156107	0	0.000228	0.078803	
0.07	-0.06	0	1.000166	0.06899613	1	0.4156107	0	0.000228	0.079306	
0.07025	-0.06	0	1.000166	0.06949621	1	0.4156107	0	0.000228	0.079306	
0.0705	-0.06	0	1.000166	0.06949621	1	0.4156107	0	0.000227	0.07981	
0.07075001	-0.06	0	1.000166	0.0699963	1	0.4156107	0	0.000227	0.07981	
0.071	-0.06	0	1.000166	0.0699963	1	0.4156107	0	0.000226	0.080314	
0.07125001	-0.06	0	1.000166	0.07049638	1	0.4156107	0	0.000226	0.080314	
0.0715	-0.06	0	1.000166	0.07049638	1	0.4156107	0	0.000232	0.080818	
0.07175	-0.06	0	1.000166	0.07099646	1	0.4156107	0	0.000232	0.080818	
0.072	-0.06	0	1.000166	0.07099646	1	0.4156107	0	0.000236	0.081322	
0.07225	-0.06	0	1.000166	0.07149655	1	0.4260829	0	0.000236	0.081322	
0.07250001	-0.06	0	1.000166	0.07149655	1	0.4260829	0	0.000227	0.081826	
0.07275	-0.06	0	1.000166	0.07199663	1	0.4260829	0	0.000227	0.081826	
0.07300001	-0.06	0	1.000166	0.07199663	1	0.4260829	0	0.000226	0.08233	
0.07325	-0.06	0	1.000166	0.07249671	1	0.4260829	0	0.000226	0.08233	
0.0735	-0.06	0	1.000166	0.07249671	1	0.4260829	0	0.000229	0.082833	
0.07375	-0.06	0	1.000166	0.0729968	1	0.4260829	0	0.000229	0.082833	
0.074	-0.06	0	1.000166	0.0729968	1	0.4260829	0	0.000231	0.083337	
0.07425001	-0.06	0	1.000166	0.07349688	1	0.4260829	0	0.000231	0.083337	
0.0745	-0.06	0	1.000166	0.07349688	1	0.4260829	0	0.000237	0.083841	
0.07475001	-0.06	0	1.000166	0.07399696	1	0.4363245	0	0.000237	0.083841	
0.075	-0.06	0	1.000166	0.07399696	1	0.4363245	0	0.000226	0.084345	
0.07525001	-0.06	0	1.000166	0.07449704	1	0.4363245	0	0.000226	0.084345	
0.0755	-0.06	0	1.000166	0.07449704	1	0.4363245	0	0.000227	0.084849	
0.07575	-0.06	0	1.000166	0.07499713	1	0.4363245	0	0.000227	0.084849	
0.07600001	-0.06	0	1.000166	0.07499713	1	0.4363245	0	0.000226	0.085352	
0.07625	-0.06	0	1.000166	0.07549721	1	0.4363245	0	0.000226	0.085352	
0.07650001	-0.06	0	1.000166	0.07549721	1	0.4363245	0	0.00023	0.085856	
0.07675	-0.06	0	1.000166	0.07599729	1	0.4363245	0	0.00023	0.085856	
0.07700001	-0.06	0	1.000166	0.07599729	1	0.4363245	0	0.000226	0.086359	
0.07725	-0.06	0	1.000166	0.07649738	1	0.4463414	0	0.000226	0.086359	
0.0775	-0.06	0	1.000166	0.07649738	1	0.4463414	0	0.000227	0.086863	
0.07775	-0.06	0	1.000166	0.07699746	1	0.4463414	0	0.000227	0.086863	
0.078	-0.06	0	1.000166	0.07699746	1	0.4463414	0	0.000226	0.087367	
0.07825001	-0.06	0	1.000166	0.07749754	1	0.4463414	0	0.000226	0.087367	
0.0785	-0.06	0	1.000166	0.07749754	1	0.4463414	0	0.000237	0.08787	
