Time	X Force	Tension	Length	Velocity	Acceleration	Potential Energy	Damping Force	Spring Tension	
0.25	0.1451606	-0.1368198	4.84767	-0.8339881	0	3.592723	8.339881	-8.476701	
0.251	0.1368207	-0.1237068	4.846836	-0.834465	-0.4768371	3.585653	8.344649	-8.468356	
0.252	0.1237077	-0.1153622	4.846001	-0.834465	0	3.57859	8.344649	-8.460011	
0.253	0.115363	-0.1070175	4.845167	-0.834465	0	3.571534	8.344649	-8.451667	
0.254	0.1070184	-0.09389973	4.844332	-0.8349418	-0.4768371	3.564481	8.349418	-8.443317	
0.255	0.09390058	-0.09032345	4.843497	-0.834465	0.4768371	3.557438	8.344649	-8.434973	
0.256	0.0903243	-0.07720566	4.842662	-0.8349418	-0.4768371	3.550399	8.349418	-8.426623	
0.257	0.07720651	-0.06885624	4.841827	-0.8349418	0	3.543367	8.349418	-8.418274	
0.258	0.0688571	-0.06050682	4.840992	-0.8349418	0	3.536341	8.349418	-8.409925	
0.259	0.06050768	-0.0521574	4.840158	-0.8349418	0	3.529323	8.349418	-8.401575	
0.26	0.05215826	-0.03903484	4.839322	-0.8354186	-0.4768371	3.522308	8.354186	-8.393221	
0.261	0.0390357	-0.0354538	4.838487	-0.8349418	0.4768371	3.515303	8.349418	-8.384871	
0.262	0.03545465	-0.02710438	4.837652	-0.8349418	0	3.508306	8.349418	-8.376522	
0.263	0.02710523	-0.01398182	4.836817	-0.8354186	-0.4768371	3.501312	8.354186	-8.368168	
0.264	0.01398268	-0.005627632	4.835981	-0.8354186	0	3.494324	8.354186	-8.359814	
0.265	0.00562849	-0.006819725	4.835147	-0.834465	0.9536743	3.487352	8.344649	-8.351469	
0.266	0.006820583	0.01107121	4.834311	-0.8354186	-0.9536743	3.480378	8.354186	-8.343115	
0.267	-0.01107035	0.01465225	4.833477	-0.8349418	0.4768371	3.473416	8.349418	-8.334765	
0.268	-0.01465139	0.02300167	4.832642	-0.8349418	0	3.46646	8.349418	-8.326416	
0.269	-0.02300081	0.03135109	4.831807	-0.8349418	0	3.459512	8.349418	-8.318067	
0.27	-0.03135023	0.04447365	4.830971	-0.8354186	-0.4768371	3.452566	8.354186	-8.309712	
0.271	-0.04447279	0.0480547	4.830136	-0.8349418	0.4768371	3.445631	8.349418	-8.301363	
