Time	A	B	
1.8668	0.3204913	0.1265619	
1.8694	0.3200665	0.1269184	
1.872	0.3218098	0.1237251	
1.8746	0.3245753	0.126904	
1.8772	0.3213878	0.1233356	
1.8798	0.3195195	0.1184603	
1.8824	0.3149166	0.1155383	
1.885	0.3160609	0.1176364	
1.8876	0.3181471	0.1172791	
1.8902	0.3161758	0.1177887	
1.8928	0.311169	0.12292	
1.8954	0.3073378	0.1231802	
1.898	0.3090816	0.1264726	
1.9006	0.3039166	0.1265253	
1.9032	0.299338	0.1256416	
1.9058	0.2942921	0.1266692	
1.9084	0.2891027	0.1251734	
1.911	0.2890193	0.1249871	
1.9136	0.2873304	0.1213112	
1.9162	0.2892331	0.1184972	
1.9188	0.2923645	0.1206072	
1.9214	0.2925019	0.1253097	
1.924	0.2874075	0.1228931	
1.9266	0.2893924	0.1229702	
1.9292	0.2842195	0.1253013	
1.9318	0.2822182	0.1288566	
1.9344	0.2791502	0.134034	
1.937	0.2767899	0.1341907	
1.9396	0.2749872	0.1385314	
1.9422	0.2746541	0.1352601	
1.9448	0.2735027	0.1366563	
1.9474	0.2732272	0.1399104	
1.95	0.2772499	0.1454013	
1.9526	0.278818	0.1492091	
1.9552	0.2777477	0.1529718	
1.9578	0.2757218	0.1519063	
1.9604	0.2710302	0.1517793	
1.963	0.2720377	0.1566942	
1.9656	0.2685644	0.1591661	
1.9682	0.2628445	0.1608914	
1.9708	0.26474	0.1574627	
1.9734	0.2642576	0.1565218	
1.976	0.2609828	0.1525655	
1.9786	0.2580553	0.1527013	
1.9812	0.2592395	0.1548886	
1.9838	0.2537874	0.1602189	
1.9864	0.2505295	0.1627038	
1.989	0.2486539	0.1641968	
1.9916	0.2429607	0.1617909	
1.9942	0.2403852	0.1647412	
1.9968	0.2369334	0.1614149	
1.9994	0.2400613	0.1632503	
2.002	0.2349177	0.1661849	
2.0046	0.2358731	0.1634725	
2.0072	0.2335112	0.1612492	
2.0098	0.2357348	0.1648659	
2.0124	0.2338478	0.1646433	
2.015	0.2297992	0.1689315	
2.0176	0.2329453	0.1715251	
2.0202	0.2317252	0.1738193	
2.0228	0.2262993	0.1799338	
2.0254	0.2245749	0.1784061	
2.028	0.2278916	0.179623	
2.0306	0.228322	0.1825969	
