Time	Hinge	Fy	Tz	
0.68	-0.01544059	-1.527369E-07	0.3999528	
0.6810001	-0.01561311	-1.490116E-07	0.3999518	
0.682	-0.01578659	-1.378357E-07	0.3999507	
0.683	-0.01596102	-1.303852E-07	0.3999496	
0.684	-0.01613642	-1.266599E-07	0.3999484	
0.6850001	-0.01631277	-1.192093E-07	0.3999473	
0.686	-0.01649008	-1.192093E-07	0.3999461	
0.687	-0.01666835	-1.043081E-07	0.399945	
0.688	-0.01684758	-1.043081E-07	0.3999437	
0.689	-0.01702776	-9.685755E-08	0.3999425	
0.6900001	-0.01720891	-9.313226E-08	0.3999413	
0.691	-0.01739101	-8.940697E-08	0.39994	
0.692	-0.01757407	-8.940697E-08	0.3999388	
0.693	-0.01775809	-7.82311E-08	0.3999374	
0.694	-0.01794306	-7.82311E-08	0.3999361	
0.6950001	-0.018129	-7.450581E-08	0.3999348	
0.696	-0.01831589	-6.705523E-08	0.3999334	
0.697	-0.01850374	-6.705523E-08	0.3999321	
0.698	-0.01869255	-6.332994E-08	0.3999307	
0.6990001	-0.01888232	-6.332994E-08	0.3999292	
0.7	-0.01907305	-5.960464E-08	0.3999278	
0.701	-0.01926474	-5.215406E-08	0.3999263	
0.702	-0.01945738	-5.215406E-08	0.3999248	
0.703	-0.01965098	-4.842877E-08	0.3999233	
0.7040001	-0.01984554	-4.842877E-08	0.3999217	
0.705	-0.02004106	-4.470348E-08	0.3999202	
0.706	-0.02023754	-4.097819E-08	0.3999186	
0.707	-0.02043497	-4.470348E-08	0.399917	
0.708	-0.02063337	-3.72529E-08	0.3999154	
0.7090001	-0.02083272	-3.72529E-08	0.3999138	
0.71	-0.02103303	-3.72529E-08	0.3999121	
0.711	-0.0212343	-3.352761E-08	0.3999103	
0.712	-0.02143652	-2.980232E-08	0.3999086	
0.7130001	-0.02163971	-2.980232E-08	0.3999069	
0.714	-0.02184385	-2.980232E-08	0.3999051	
0.715	-0.02204895	-2.980232E-08	0.3999033	
0.716	-0.02225501	-2.607703E-08	0.3999015	
0.717	-0.02246203	-2.607703E-08	0.3998996	
0.7180001	-0.02267	-2.235174E-08	0.3998978	
0.719	-0.02287894	-2.607703E-08	0.3998958	
0.72	-0.02308883	-1.862645E-08	0.3998939	
0.721	-0.02329968	-2.235174E-08	0.399892	
0.7220001	-0.02351149	-1.862645E-08	0.39989	
0.723	-0.02372425	-1.862645E-08	0.399888	
0.724	-0.02393798	-1.862645E-08	0.399886	
0.725	-0.02415266	-1.490116E-08	0.3998839	
0.726	-0.0243683	-1.490116E-08	0.3998818	
0.7270001	-0.0245849	-1.862645E-08	0.3998797	
0.728	-0.02480246	-1.117587E-08	0.3998775	
0.729	-0.02502098	-1.490116E-08	0.3998754	
0.73	-0.02524045	-1.490116E-08	0.3998732	
0.731	-0.02546088	-1.117587E-08	0.399871	
0.7320001	-0.02568227	-1.117587E-08	0.3998687	
0.733	-0.02590462	-1.117587E-08	0.3998664	
0.734	-0.02612793	-1.117587E-08	0.3998641	
0.735	-0.02635219	-1.117587E-08	0.3998617	
0.7360001	-0.02657741	-1.117587E-08	0.3998593	
0.737	-0.02680359	-1.117587E-08	0.3998569	
0.738	-0.02703073	-1.117587E-08	0.3998545	
0.739	-0.02725883	-7.450581E-09	0.399852	
0.74	-0.02748789	-7.450581E-09	0.3998495	
