Time	1Vm	2Vm	
0.1238	-0.06420075	-0.05676319	
0.124	-0.06437744	-0.05668608	
0.1242	-0.06422357	-0.05652304	
0.1244	-0.06423505	-0.05657588	
0.1246	-0.064348	-0.05668482	
0.1248	-0.06446369	-0.0564966	
0.125	-0.06442388	-0.0563407	
0.1252	-0.06426173	-0.05645438	
0.1254	-0.06415464	-0.056488	
0.1256	-0.06429628	-0.05648537	
0.1258	-0.06440687	-0.0565908	
0.126	-0.0641949	-0.05640415	
0.1262	-0.06406943	-0.05624509	
0.1264	-0.06398235	-0.05618311	
0.1266	-0.06389319	-0.05621358	
0.1268	-0.06380283	-0.05625217	
0.127	-0.06381877	-0.05626842	
0.1272	-0.06369962	-0.05603769	
0.1274	-0.06388474	-0.05583404	
0.1276	-0.06389615	-0.05590182	
0.1278	-0.06388938	-0.05587677	
0.128	-0.0639247	-0.05566991	
0.1282	-0.06408265	-0.05558851	
0.1284	-0.06390184	-0.05554564	
0.1286	-0.06400973	-0.05541488	
0.1288	-0.06385477	-0.0555892	
0.129	-0.06368259	-0.05561449	
0.1292	-0.06365608	-0.05557594	
0.1294	-0.06376797	-0.05571103	
0.1296	-0.06379507	-0.05552727	
0.1298	-0.06366666	-0.05537919	
0.13	-0.06377953	-0.0552236	
0.1302	-0.06378902	-0.05528968	
0.1304	-0.06383135	-0.05522566	
0.1306	-0.06385318	-0.05531214	
0.1308	-0.06379325	-0.05514565	
0.131	-0.06362278	-0.05526052	
0.1312	-0.06357441	-0.0554288	
0.1314	-0.06350183	-0.05524498	
0.1316	-0.06343988	-0.0551936	
0.1318	-0.06378707	-0.05525566	
0.132	-0.06383765	-0.05506739	
0.1322	-0.063939	-0.0551952	
0.1324	-0.06399824	-0.05537329	
0.1326	-0.06403323	-0.05538183	
0.1328	-0.06418078	-0.05547844	
0.133	-0.06418908	-0.05544866	
0.1332	-0.06411993	-0.05542288	
0.1334	-0.06440631	-0.05550139	
0.1336	-0.06435302	-0.05549164	
0.1338	-0.06451669	-0.0554032	
0.134	-0.06446476	-0.05531798	
0.1342	-0.06470409	-0.05529398	
0.1344	-0.06461247	-0.05521819	
0.1346	-0.06468954	-0.0553946	
0.1348	-0.06484652	-0.05533228	
0.135	-0.06483845	-0.05532181	
0.1352	-0.06475543	-0.05510749	
0.1354	-0.06463889	0	
0.1356	-0.06478801	-0.05553411	
0.1358	-0.0648311	-0.05620278	
0.136	-0.06468718	-0.05654041	
0.1362	-0.06471221	-0.05675774	
0.1364	-0.064878	-0.0571538	
0.1366	-0.06468986	-0.05744444	
0.1368	-0.06480867	-0.05782615	
0.137	-0.06466595	-0.0580204	
0.1372	-0.06467336	-0.05811083	
0.1374	-0.06455158	-0.05830255	
0.1376	-0.0646534	-0.05855945	
0.1378	-0.06453402	-0.05847143	
0.138	-0.06463692	-0.05874929	
0.1382	-0.06477877	-0.05875616	
0.1384	-0.06470385	-0.05876701	
0.1386	-0.06448745	-0.05895906	
0.1388	-0.06456253	-0.05885913	
0.139	-0.06470211	-0.05903784	
0.1392	-0.06466463	-0.0589337	
0.1394	-0.06479888	-0.05897952	
0.1396	-0.06465964	-0.05915304	
0.1398	-0.06453659	-0.0591231	
0.14	-0.06465383	-0.05901337	
0.1402	-0.06473344	-0.05912801	
0.1404	-0.06465904	-0.05898613	
