Time	PendulumX	PendulumY	PendulumZ	Rotation	
0.429	-4.984465	-4.916209	0.001015102	0.7924272	
0.43	-4.994141	-4.906379	0.001017073	0.794398	
0.431	-5.003798	-4.89653	0.001019039	0.7963687	
0.432	-5.013435	-4.886662	0.001021002	0.7983393	
0.433	-5.023052	-4.876775	0.00102296	0.80031	
0.434	-5.03265	-4.86687	0.001024915	0.8022805	
0.435	-5.042227	-4.856946	0.001026865	0.8042509	
0.436	-5.051785	-4.847004	0.001028812	0.8062213	
0.437	-5.061323	-4.837043	0.001030754	0.8081917	
0.438	-5.07084	-4.827064	0.001032693	0.8101619	
0.439	-5.080338	-4.817067	0.001034627	0.8121321	
0.44	-5.089816	-4.80705	0.001036557	0.8141022	
0.441	-5.099273	-4.797016	0.001038483	0.8160723	
0.442	-5.108711	-4.786963	0.001040405	0.8180423	
0.443	-5.118128	-4.776892	0.001042323	0.8200122	
0.444	-5.127525	-4.766803	0.001044237	0.8219821	
0.445	-5.136902	-4.756695	0.001046146	0.8239519	
0.446	-5.146259	-4.74657	0.001048052	0.8259217	
0.447	-5.155596	-4.736426	0.001049953	0.8278913	
0.448	-5.164912	-4.726264	0.001051851	0.8298609	
0.449	-5.174208	-4.716085	0.001053744	0.8318304	
0.45	-5.183483	-4.705887	0.001055633	0.8337999	
0.451	-5.192739	-4.695672	0.001057517	0.8357694	
0.452	-5.201973	-4.685438	0.001059398	0.8377387	
0.453	-5.211187	-4.675186	0.001061275	0.839708	
0.454	-5.220381	-4.664917	0.001063147	0.8416772	
0.455	-5.229554	-4.65463	0.001065015	0.8436463	
0.456	-5.238706	-4.644325	0.001066879	0.8456154	
0.457	-5.247838	-4.634003	0.001068739	0.8475844	
0.458	-5.256949	-4.623662	0.001070594	0.8495534	
0.459	-5.26604	-4.613305	0.001072446	0.8515223	
