Time	BoxContact	BoxSensor	BoxSensorX	BoxSensorY	CylinderContact	CylinderSensor	CylinderSensorX	CylinderSensorY	
0.0792	-0.07	0	-0.02375349	-0.3527542	0.01783999	1	0.07596793	-0.345295	
0.0796	-0.07	0	-0.02348564	-0.3527722	0.02027199	2	0.07623009	-0.3452372	
0.08	-0.07	0	-0.02321647	-0.35279	0.02027199	2	0.07649347	-0.345179	
0.0804	-0.07	0	-0.02294599	-0.3528077	0.02027199	2	0.07675809	-0.3451202	
0.0808	-0.07	0	-0.0226742	-0.3528252	0.02027199	2	0.07702392	-0.345061	
0.0812	-0.07	0	-0.0224011	-0.3528427	0.02027199	2	0.07729099	-0.3450013	
0.0816	-0.07	0	-0.02212669	-0.35286	0.04221759	2	0.07755927	-0.344941	
0.08199999	-0.07	0	-0.02185097	-0.3528772	0.04221759	2	0.07782877	-0.3448803	
0.0824	-0.07	0	-0.02157394	-0.3528942	0.04221759	2	0.07809949	-0.3448191	
0.0828	-0.07	0	-0.02129561	-0.3529111	0.04221759	2	0.07837143	-0.3447574	
0.0832	-0.07	0	-0.02101597	-0.3529279	0.04221759	2	0.07864457	-0.3446952	
0.0836	-0.07	0	-0.02073503	-0.3529445	0.05977406	1	0.07891893	-0.3446325	
0.084	-0.07	0	-0.02045278	-0.3529609	0.05977406	1	0.07919449	-0.3445693	
0.0844	-0.07	0	-0.02016924	-0.3529772	0.05977406	1	0.07947127	-0.3445055	
0.0848	-0.07	0	-0.01988439	-0.3529934	0.05977406	1	0.07974925	-0.3444413	
0.0852	-0.07	0	-0.01959824	-0.3530094	0.05977406	1	0.08002844	-0.3443765	
0.0856	-0.07	0	-0.01931079	-0.3530252	0.05381925	1	0.08030882	-0.3443112	
0.086	-0.07	0	-0.01902205	-0.3530409	0.05381925	1	0.0805904	-0.3442454	
0.08639999	-0.07	0	-0.01873201	-0.3530564	0.05381925	1	0.08087318	-0.3441791	
0.08679999	-0.07	0	-0.01844068	-0.3530717	0.05381925	1	0.08115716	-0.3441122	
0.0872	-0.07	0	-0.01814805	-0.3530869	0.05381925	1	0.08144232	-0.3440449	
0.0876	-0.07	0	-0.01785413	-0.3531019	0.0490554	1	0.08172868	-0.3439769	
0.088	-0.07	0	-0.01755892	-0.3531167	0.0490554	1	0.08201623	-0.3439085	
0.0884	-0.07	0	-0.01726242	-0.3531313	0.0490554	1	0.08230496	-0.3438395	
0.0888	-0.07	0	-0.01696463	-0.3531457	0.0490554	1	0.08259488	-0.34377	
0.0892	-0.07	0	-0.01666555	-0.35316	0.0490554	1	0.08288598	-0.3436999	
0.0896	-0.07	0	-0.01636519	-0.353174	0.04524432	1	0.08317827	-0.3436293	
0.09	-0.07	0	-0.01606354	-0.3531879	0.04524432	1	0.08347172	-0.3435581	
0.0904	-0.07	0	-0.01576061	-0.3532015	0.04524432	1	0.08376636	-0.3434864	
0.09079999	-0.07	0	-0.0154564	-0.3532149	0.04524432	1	0.08406217	-0.3434141	
0.09119999	-0.07	0	-0.0151509	-0.3532282	0.04524432	1	0.08435915	-0.3433413	
0.0916	-0.07	0	-0.01484413	-0.3532412	0.04219545	1	0.0846573	-0.3432679	
0.092	-0.07	0	-0.01453608	-0.353254	0.04219545	1	0.08495661	-0.3431939	
0.0924	-0.07	0	-0.01422675	-0.3532666	0.04219545	1	0.0852571	-0.3431194	
0.0928	-0.07	0	-0.01391614	-0.3532789	0.04219545	1	0.08555873	-0.3430443	
0.0932	-0.07	0	-0.01360427	-0.3532911	0.04219545	1	0.08586154	-0.3429686	
0.0936	-0.07	0	-0.01329112	-0.353303	0.03975637	1	0.08616551	-0.3428924	
0.094	-0.07	0	-0.01297669	-0.3533147	0.03975637	1	0.08647063	-0.3428155	
0.0944	-0.07	0	-0.012661	-0.3533261	0.03975637	1	0.0867769	-0.3427382	
0.0948	-0.07	0	-0.01234404	-0.3533373	0.03975637	1	0.08708432	-0.3426602	
0.09519999	-0.07	0	-0.01202582	-0.3533483	0.03975637	1	0.08739289	-0.3425816	
0.09559999	-0.07	0	-0.01170632	-0.353359	0.0378051	1	0.0877026	-0.3425024	
0.096	-0.07	0	-0.01138557	-0.3533695	0.0378051	1	0.08801346	-0.3424227	
0.0964	-0.07	0	-0.01106355	-0.3533797	0.0378051	1	0.08832546	-0.3423423	
0.0968	-0.07	0	-0.01074027	-0.3533897	0.0378051	1	0.08863861	-0.3422614	
0.0972	-0.07	0	-0.01041573	-0.3533994	0.0378051	1	0.08895289	-0.3421798	
0.0976	-0.07	0	-0.01008993	-0.3534088	0.03624408	1	0.0892683	-0.3420977	
0.098	-0.07	0	-0.009762872	-0.353418	0.03624408	1	0.08958485	-0.3420149	
0.0984	-0.07	0	-0.009434562	-0.3534269	0.03624408	1	0.08990252	-0.3419316	
0.0988	-0.07	0	-0.009104998	-0.3534356	0.03624408	1	0.09022132	-0.3418475	
0.0992	-0.07	0	-0.008774182	-0.353444	0.03624408	1	0.09054125	-0.341763	
0.09959999	-0.07	0	-0.008442115	-0.353452	0.03499527	1	0.0908623	-0.3416777	
0.09999999	-0.07	0	-0.008108799	-0.3534598	0.03499527	1	0.09118446	-0.3415919	
0.1004	-0.07	0	-0.007774236	-0.3534673	0.03499527	1	0.09150776	-0.3415054	
0.1008	-0.07	0	-0.007438426	-0.3534746	0.03499527	1	0.09183215	-0.3414183	
