Time	A4	A4Ia	
1.15	-0.0376641	3.523122E-27	
1.152	-0.03831081	3.523122E-27	
1.154	-0.0389446	3.523122E-27	
1.156	-0.0395657	3.523122E-27	
1.158	-0.04017439	3.523122E-27	
1.16	-0.0407709	3.523122E-27	
1.162	-0.04135549	3.523122E-27	
1.164	-0.04192838	3.523122E-27	
1.166	-0.04248981	3.523122E-27	
1.168	-0.04304001	3.523122E-27	
1.17	-0.04357921	3.523122E-27	
1.172	-0.04410763	3.523122E-27	
1.174	-0.04462548	3.523122E-27	
1.176	-0.04513296	3.523122E-27	
1.178	-0.04563031	3.523122E-27	
1.18	-0.0461177	3.523122E-27	
1.182	-0.04659535	3.523122E-27	
1.184	-0.04706344	3.523122E-27	
1.186	-0.04752217	3.523122E-27	
1.188	-0.04797173	3.523122E-27	
1.19	-0.04841229	3.523122E-27	
1.192	-0.04884405	3.523122E-27	
1.194	-0.04926717	3.523122E-27	
1.196	-0.04968182	3.523122E-27	
1.198	-0.05008819	3.523122E-27	
1.2	-0.05048642	3.523122E-27	
1.202	-0.05087669	3.523122E-27	
1.204	-0.05125916	3.523122E-27	
1.206	-0.05163398	3.523122E-27	
1.208	-0.0520013	3.523122E-27	
1.21	-0.05236127	3.523122E-27	
1.212	-0.05271405	3.523122E-27	
1.214	-0.05305976	3.523122E-27	
1.216	-0.05339857	3.523122E-27	
1.218	-0.0537306	3.523122E-27	
1.22	-0.05405599	3.523122E-27	
1.222	-0.05437487	3.523122E-27	
1.224	-0.05468737	3.523122E-27	
1.226	-0.05499362	3.523122E-27	
1.228	-0.05529375	3.523122E-27	
1.23	-0.05558788	3.523122E-27	
1.232	-0.05587612	3.523122E-27	
1.234	-0.05615859	3.523122E-27	
1.236	-0.05643542	3.523122E-27	
1.238	-0.05670672	3.523122E-27	
1.24	-0.05697258	3.523122E-27	
1.242	-0.05723313	3.523122E-27	
1.244	-0.05748847	3.523122E-27	
1.246	-0.0577387	3.523122E-27	
1.248	-0.05798392	3.523122E-27	
1.25	-0.05822425	3.523122E-27	
1.252	-0.05845976	3.523122E-27	
1.254	-0.05869056	3.523122E-27	
1.256	-0.05891675	3.523122E-27	
1.258	-0.05913842	3.523122E-27	
1.26	-0.05935565	3.523122E-27	
1.262	-0.05956854	3.523122E-27	
1.264	-0.05977717	3.523122E-27	
1.266	-0.05998162	3.523122E-27	
1.268	-0.06018199	3.523122E-27	
1.27	-0.06037835	3.523122E-27	
1.272	-0.06057078	3.523122E-27	
1.274	-0.06075937	3.523122E-27	
1.276	-0.06094418	3.523122E-27	
1.278	-0.0611253	3.523122E-27	
1.28	-0.06130279	3.523122E-27	
1.282	-0.06147673	3.523122E-27	
1.284	-0.0616472	3.523122E-27	
1.286	-0.06181426	3.523122E-27	
1.288	-0.06197797	3.523122E-27	
1.29	-0.06213841	3.523122E-27	
1.292	-0.06229565	3.523122E-27	
1.294	-0.06244973	3.523122E-27	
1.296	-0.06260074	3.523122E-27	
1.298	-0.06274872	3.523122E-27	
1.3	-0.06289375	3.523122E-27	
1.302	-0.06303588	3.523122E-27	
1.304	-0.06317516	3.523122E-27	
