Time	FF_1	FF_2	Vm_2	Vm_1	Ie_1	Ii_2	
0.726	0.8505225	0	-0.05345894	0.0567015	6E-09	5E-09	
0.728	0.860418	0	-0.05828283	0.0573612	6E-09	5E-09	
0.73	0.8683344	0	-0.0624388	0.05788896	6E-09	5E-09	
0.7320001	0.8746675	0	-0.06600107	0.05831117	6E-09	5E-09	
0.734	0.879734	0	-0.06904089	0.05864893	6E-09	5E-09	
0.7360001	0.8837872	0	-0.07162473	0.05891915	6E-09	5E-09	
0.738	0.8870298	0	-0.0738134	0.05913532	6E-09	5E-09	
0.74	0.8896238	0	-0.07566161	0.05930825	6E-09	5E-09	
0.742	0.8916991	0	-0.077218	0.0594466	6E-09	5E-09	
0.744	0.8933592	0	-0.07852537	0.05955728	6E-09	5E-09	
0.7460001	0.8946874	0	-0.07962108	0.05964582	6E-09	5E-09	
0.748	0.8957499	0	-0.08053748	0.05971666	6E-09	5E-09	
0.7500001	0.8965999	0	-0.08130249	0.05977333	6E-09	5E-09	
0.752	0.8972799	0	-0.08193999	0.05981866	6E-09	5E-09	
0.754	0.8978239	0	-0.08247039	0.05985493	6E-09	5E-09	
0.756	0.8982591	0	-0.08291103	0.05988394	6E-09	5E-09	
0.758	0.8986073	0	-0.0832766	0.05990715	6E-09	5E-09	
0.7600001	0.8988858	0	-0.0835795	0.05992572	6E-09	5E-09	
0.762	0.8991087	0	-0.08383017	0.05994058	6E-09	5E-09	
0.7640001	0.899287	0	-0.08403739	0.05995246	6E-09	5E-09	
0.766	0.8994296	0	-0.08420853	0.05996197	6E-09	5E-09	
