Time	1	2	3	
0.147	-0.05352404	-0.06	-0.0287131	
0.1475	-0.05414228	-0.06	0	
0.148	-0.05470133	-0.06	-0.03064284	
0.1485	-0.05520688	-0.06	-0.03134793	
0.149	-0.05566408	-0.06	-0.03126091	
0.1495	-0.05607759	-0.06	-0.03083287	
0.15	-0.05645159	-0.06	-0.03027571	
0.1505	-0.05678986	-0.06	0	
0.151	-0.05709584	-0.06	-0.03220476	
0.1515	-0.05737262	-0.06	-0.03306792	
0.152	-0.057623	-0.06	-0.03313866	
0.1525	-0.05784948	-0.06	-0.03283372	
0.153	-0.05805436	-0.06	-0.03236366	
0.1535	-0.05823971	-0.06	-0.03183814	
0.154	-0.05840739	-0.06	-0.03131541	
0.1545	-0.05855908	-0.06	-0.03082642	
0.155	-0.05869632	-0.06	0	
0.1555	-0.05882047	-0.06	-0.03317432	
0.156	-0.0589328	-0.06	-0.03445173	
0.1565	-0.05903443	-0.06	-0.03491382	
0.157	-0.05912637	-0.06	-0.03493541	
0.1575	-0.05920955	-0.06	-0.03472557	
0.158	-0.05928481	-0.06	-0.03440407	
0.1585	-0.0593529	-0.06	-0.03404086	
0.159	-0.05941451	-0.06	-0.03367717	
0.1595	-0.05947025	-0.06	-0.03333719	
0.16	-0.05952068	-0.06	-0.03303476	
0.1605	-0.05956632	-0.05714512	-0.03277727	
0.161	-0.0596076	-0.05456192	-0.03256804	
0.1615	-0.05964496	-0.05222455	-0.03240785	
0.162	-0.05967875	-0.0501096	-0.03229577	
0.1625	-0.05970933	-0.04819592	-0.03222992	
0.163	-0.059737	-0.04646435	-0.03220774	
0.1635	-0.05976203	-0.04489756	-0.03222636	
0.164	-0.05978468	-0.04347987	-0.03228275	
0.1645	-0.05980518	-0.04219709	-0.03237386	
0.165	-0.05982372	-0.04103639	-0.03249667	
0.1655	-0.0598405	-0.03998613	-0.03264831	
0.166	-0.05985568	-0.03903583	-0.03282601	
0.1665	-0.05986942	-0.03817596	-0.03302721	
0.167	-0.05988184	0	-0.0332495	
0.1675	-0.05989309	-0.03968228	-0.03510298	
0.168	-0.05990326	-0.04114152	-0.03652756	
0.1685	-0.05991247	-0.04201781	-0.03763784	
0.169	-0.0599208	-0.04247549	-0.03851659	
0.1695	-0.05992834	-0.04262917	-0.03922401	
0.17	-0.05993516	-0.0425608	-0.03980416	
0.1705	-0.05994133	-0.04233028	-0.04028951	
0.171	-0.05994692	-0.04198222	-0.04070407	
0.1715	-0.05995197	-0.0415504	-0.04106576	
0.172	-0.05995654	-0.04106072	-0.04138798	
0.1725	-0.05996067	-0.04053321	-0.04168078	
0.173	-0.05996441	-0.0399835	-0.04195172	
0.1735	-0.0599678	-0.03942376	-0.04220657	
0.174	-0.05997087	-0.03886347	-0.04244963	
0.1745	-0.05997364	-0.03830997	-0.04268421	
0.175	-0.05997615	-0.0377689	-0.0429128	
0.1755	-0.05997842	-0.0372445	-0.04313729	
0.176	-0.05998047	-0.03673989	-0.04335909	
0.1765	-0.05998233	-0.03625727	-0.04357927	
0.177	-0.05998401	-0.0357981	-0.04379861	
0.1775	-0.05998553	-0.0353632	-0.04401769	
0.178	-0.05998691	-0.03495297	-0.04423692	
0.1785	-0.05998816	0	-0.04445659	
0.179	-0.05998928	-0.03743133	-0.04631231	
0.1795	-0.0599903	-0.03932288	-0.04774105	
0.18	-0.05999123	-0.04052881	-0.04884879	
0.1805	-0.05999206	-0.04124275	-0.04971381	
0.181	-0.05999282	-0.04159902	-0.05039434	
0.1815	-0.0599935	-0.04169317	-0.05093397	
0.182	-0.05999412	-0.04159467	-0.05136552	
0.1825	-0.05999468	-0.04135503	-0.05171389	
0.183	-0.05999519	-0.0410131	-0.05199801	
0.1835	-0.05999564	-0.04059854	-0.05223243	
0.184	-0.05999606	-0.04013427	-0.05242833	
0.1845	-0.05999643	-0.03963809	-0.05259435	
0.185	-0.05999677	-0.03912389	-0.05273724	
0.1855	-0.05999708	-0.03860253	-0.05286222	
0.186	-0.05999736	-0.03808244	-0.05297341	
0.1865	-0.05999761	-0.03757013	-0.05307403	
0.187	-0.05999784	-0.03707055	-0.05316662	
0.1875	-0.05999805	-0.03658743	-0.05325318	
0.188	-0.05999823	-0.03612344	-0.05333529	
0.1885	-0.0599984	-0.03568046	-0.0534142	
0.189	-0.05999855	-0.03525968	-0.05349089	
0.1895	-0.05999869	-0.03486175	-0.05356612	
0.19	-0.05999882	-0.0344869	-0.05364052	
0.1905	-0.05999893	-0.03413501	-0.05371454	
0.191	-0.05999903	-0.03380568	-0.05378855	
0.1915	-0.05999913	0	-0.05386283	
0.192	-0.05999921	-0.03653196	-0.05524954	
0.1925	-0.05999929	-0.03855592	-0.05630107	
0.193	-0.05999935	-0.03986718	-0.05710063	
0.1935	-0.05999942	-0.04066636	-0.05770955	
0.194	-0.05999947	-0.04109272	-0.05817335	
0.1945	-0.05999952	-0.04124535	-0.05852608	
0.195	-0.05999957	-0.04119626	-0.05879334	
0.1955	-0.05999961	-0.04099889	-0.05899455	
0.196	-0.05999965	-0.04069347	-0.05914452	
0.1965	-0.05999968	-0.04031075	-0.05925462	
0.197	-0.05999972	-0.03987446	-0.0593336	
0.1975	-0.05999974	-0.03940304	-0.05938827	
0.198	-0.05999976	-0.03891088	-0.05942393	
0.1985	-0.05999979	-0.03840924	-0.05944477	
0.199	-0.0599998	-0.03790685	-0.05945405	
0.1995	-0.05999982	-0.03741051	-0.05945437	
0.2	-0.05999984	-0.03692536	-0.05944779	
0.2005	-0.05999985	-0.03645531	-0.05943597	
0.201	-0.05999987	-0.03600319	-0.05942023	
0.2015	-0.05999988	-0.03557099	-0.05940162	
0.202	-0.05999989	-0.03516002	-0.059381	
0.2025	-0.05999991	-0.03477103	-0.05935906	
0.203	-0.05999991	-0.03440432	-0.05933634	
0.2035	-0.05999992	-0.03405984	-0.05931331	
0.204	-0.05999993	-0.03373727	-0.05929032	
0.2045	-0.05999994	-0.03343607	-0.05926767	
0.205	-0.05999994	0	-0.05924559	
0.2055	-0.05999995	-0.03624484	-0.06025584	
0.206	-0.05999995	-0.03831207	-0.06100211	
0.2065	-0.05999995	-0.0396576	-0.06155218	
0.207	-0.05999996	-0.04048443	-0.06195531	
0.2075	-0.05999996	-0.04093346	-0.06224761	
0.208	-0.05999997	-0.04110492	-0.06245577	
0.2085	-0.05999997	-0.04107172	-0.06259966	
0.209	-0.05999997	-0.04088787	-0.06269418	
0.2095	-0.05999998	-0.04059411	-0.0627506	
0.21	-0.05999998	-0.04022152	-0.06277747	
0.2105	-0.05999998	-0.0397941	-0.06278137	
0.211	-0.05999998	-0.03933051	-0.06276735	
0.2115	-0.05999998	-0.0388453	-0.06273934	
0.212	-0.05999998	-0.03834984	-0.06270042	
0.2125	-0.05999998	-0.03785301	-0.062653	
0.213	-0.05999998	-0.03736165	-0.06259899	
0.2135	-0.05999998	-0.036881	-0.06253991	
0.214	-0.05999998	-0.03641501	-0.06247697	
0.2145	-0.05999998	-0.03596656	-0.06241117	
0.215	-0.05999998	-0.0355377	-0.06234328	
0.2155	-0.05999998	-0.03512975	-0.06227398	
0.216	-0.05999998	-0.03474351	-0.06220377	
0.2165	-0.05999998	-0.0343793	-0.0621331	
0.217	-0.05999998	-0.03403709	-0.06206233	
0.2175	-0.05999998	-0.03371659	-0.06199175	
0.218	-0.05999998	-0.03341727	-0.06192163	
0.2185	-0.05999998	-0.03313846	-0.06185215	
0.219	-0.05999998	0	-0.06178351	
0.2195	-0.05999998	-0.03601335	-0.06260444	
0.22	-0.05999998	-0.03811535	-0.06319527	
0.2205	-0.05999998	-0.03948846	-0.06361739	
0.221	-0.05999998	-0.04033755	-0.06391475	
0.2215	-0.05999998	-0.04080483	-0.06411914	
0.222	-0.05999998	-0.04099148	-0.06425367	
0.2225	-0.05999998	-0.04097107	-0.06433534	
0.223	-0.05999998	-0.04079815	-0.06437676	
0.2235	-0.05999998	-0.04051379	-0.06438733	
0.224	-0.05999998	-0.04014937	-0.06437412	
0.2245	-0.05999998	-0.03972912	-0.06434251	
0.225	-0.05999998	-0.03927185	-0.0642966	
0.2255	-0.05999998	-0.03879225	-0.06423955	
0.226	-0.05999998	-0.0383018	-0.06417382	
0.2265	-0.05999998	-0.03780945	-0.06410134	
0.227	-0.05999998	-0.03732212	-0.06402361	
