Time	MV	Muscle2	
5.6868	-0.07598108	13.00236	
5.687	-0.0760496	13.00236	
5.6872	-0.07611793	13.00236	
5.6874	-0.07618608	13.00236	
5.6876	-0.07625401	13.00236	
5.6878	-0.07632177	12.94689	
5.688	-0.07638932	12.94689	
5.6882	-0.07645668	12.94689	
5.6884	-0.07652385	12.94689	
5.6886	-0.07659083	12.94689	
5.6888	-0.07665762	12.89073	
5.689	-0.07672422	12.89073	
5.6892	-0.07679062	12.89073	
5.6894	-0.07685684	12.89073	
5.6896	-0.07692287	12.89073	
5.6898	-0.07698872	12.83381	
5.69	-0.07705437	12.83381	
5.6902	-0.07711983	12.83381	
5.6904	-0.07718511	12.83381	
5.6906	-0.0772502	12.83381	
5.6908	-0.07731511	12.77622	
5.691	-0.07737983	12.77622	
5.6912	-0.07744437	12.77622	
5.6914	-0.07750872	12.77622	
5.6916	-0.07757289	12.77622	
5.6918	-0.07763688	12.71805	
5.692	-0.07770068	12.71805	
5.6922	-0.0777643	12.71805	
5.6924	-0.07782774	12.71805	
5.6926	-0.07789101	12.71805	
5.6928	-0.07795408	12.65944	
5.693	-0.07801698	12.65944	
5.6932	-0.07807971	12.65944	
5.6934	-0.07814224	12.65944	
5.6936	-0.0782046	12.65944	
5.6938	-0.07826679	12.60034	
5.694	-0.0783288	12.60034	
5.6942	-0.07839063	12.60034	
5.6944	-0.07845228	12.60034	
5.6946	-0.07683094	12.60034	
5.6948	-0.07535875	12.5408	
5.695	-0.07402056	12.5408	
5.6952	-0.07280304	12.5408	
5.6954	-0.07169444	12.5408	
5.6956	-0.0706844	12.5408	
5.6958	-0.06976368	12.48534	
5.696	-0.06892408	12.48534	
5.6962	-0.06815831	12.48534	
5.6964	-0.06745982	12.48534	
5.6966	-0.06682277	12.48534	
5.6968	-0.06624188	12.45989	
5.697	-0.06571241	12.45989	
5.6972	-0.06523012	12.45989	
5.6974	-0.06479111	12.45989	
5.6976	-0.0643919	12.45989	
5.6978	-0.06402933	12.47272	
5.698	-0.06370048	12.47272	
5.6982	-0.06340275	12.47272	
5.6984	-0.06313373	12.47272	
5.6986	-0.06289124	12.47272	
5.6988	-0.06267329	12.52303	
5.699	-0.06247802	12.52303	
