TimeSlice	Time	BD30FD2B-9C21-4F8A-9254-2AD6E017A678
879	0.4395	9.05147
880	0.44	9.04931
881	0.4405	9.04715
882	0.441	9.04499
883	0.4415	9.04282
884	0.442	9.04066
885	0.4425	9.03848
886	0.443	9.03631
887	0.4435	9.03414
888	0.444	9.03196
889	0.4445	9.02978
890	0.445	9.0276
891	0.4455	9.02541
892	0.446	9.02322
893	0.4465	9.02103
894	0.447	9.01884
895	0.4475	9.01665
896	0.448	9.01445
897	0.4485	9.01225
898	0.449	9.01005
899	0.4495	9.00784
900	0.45	9.00563
901	0.4505	9.00342
902	0.451	9.00121
903	0.4515	8.999
904	0.452	8.99678
905	0.4525	8.99456
906	0.453	8.99234
907	0.4535	8.99011
908	0.454	8.98789
909	0.4545	8.98566
910	0.455	8.98343
911	0.4555	8.98119
912	0.456	8.97896
913	0.4565	8.97672
914	0.457	8.97447
915	0.4575	8.97223
916	0.458	8.96998
917	0.4585	8.96774
918	0.459	8.96548
919	0.4595	8.96323
920	0.46	8.96097
921	0.4605	8.95871
922	0.461	8.95645
923	0.4615	8.95419
924	0.462	8.95192
925	0.4625	8.94966
926	0.463	8.94738
927	0.4635	8.94511
928	0.464	8.94283
929	0.4645	8.94056
930	0.465	8.93828
931	0.4655	8.93599
932	0.466	8.93371
933	0.4665	8.93142
934	0.467	8.92913
935	0.4675	8.92684
936	0.468	8.92454
937	0.4685	8.92224
938	0.469	8.91994
939	0.4695	8.91764
940	0.47	8.91533
941	0.4705	8.91302
942	0.471	8.91071
943	0.4715	8.9084
944	0.472	8.90609
945	0.4725	8.90377
946	0.473	8.90145
947	0.4735	8.89913
948	0.474	8.8968
949	0.4745	8.89447
950	0.475	8.89214
951	0.4755	8.88981
952	0.476	8.88748
953	0.4765	8.88514
954	0.477	8.8828
955	0.4775	8.88046
956	0.478	8.87811
957	0.4785	8.87577
958	0.479	8.87342
959	0.4795	8.87107
960	0.48	8.86871
961	0.4805	8.86635
962	0.481	8.86399
963	0.4815	8.86163
964	0.482	8.85927
965	0.4825	8.8569
966	0.483	8.85453
967	0.4835	8.85216
968	0.484	8.84979
969	0.4845	8.84741
970	0.485	8.84503
971	0.4855	8.84265
972	0.486	8.84027
973	0.4865	8.83788
974	0.487	8.83549
975	0.4875	8.8331
976	0.488	8.83071
977	0.4885	8.82831
978	0.489	8.82591
979	0.4895	8.82351
980	0.49	8.82111
981	0.4905	8.8187
982	0.491	8.81629
983	0.4915	8.81388
984	0.492	8.81147
985	0.4925	8.80905
986	0.493	8.80664
987	0.4935	8.80421
988	0.494	8.80179
989	0.4945	8.79937
990	0.495	8.79694
991	0.4955	8.79451
992	0.496	8.79208
993	0.4965	8.78964
994	0.497	8.7872
995	0.4975	8.78476
996	0.498	8.78232
997	0.4985	8.77987
998	0.499	8.77743
999	0.4995	8.77498
1000	0.5	8.77252
1001	0.5005	8.77007
1002	0.501	8.76761
1003	0.5015	8.76515
1004	0.502	8.76269
1005	0.5025	8.76022
1006	0.503	8.75776
1007	0.5035	8.75529
1008	0.504	8.75282
1009	0.5045	8.75034
1010	0.505	8.74786
1011	0.5055	8.74538
1012	0.506	8.7429
1013	0.5065	8.74042
1014	0.507	8.73793
1015	0.5075	8.73544
1016	0.508	8.73295
1017	0.5085	8.73046
1018	0.509	8.72796
1019	0.5095	8.72546
1020	0.51	8.72296
1021	0.5105	8.72045
1022	0.511	8.71795
1023	0.5115	8.71544
1024	0.512	8.71293
1025	0.5125	8.71041
1026	0.513	8.7079
1027	0.5135	8.70538
1028	0.514	8.70286
1029	0.5145	8.70033
1030	0.515	8.69781
1031	0.5155	8.69528
1032	0.516	8.69275
1033	0.5165	8.69022
1034	0.517	8.68768
1035	0.5175	8.68514
1036	0.518	8.6826
1037	0.5185	8.68006
1038	0.519	8.67751
1039	0.5195	8.67496
1040	0.52	8.67241
1041	0.5205	8.66986
1042	0.521	8.6673
1043	0.5215	8.66475
1044	0.522	8.66219
1045	0.5225	8.65962
1046	0.523	8.65706
