Time	Length	Position	Length2	2	
0.446	4.210938	0.7890713	4.210938	0	
0.447	4.206795	0.7932142	4.206795	0	
0.448	4.202654	0.7973559	4.202654	0	
0.449	4.198513	0.8014963	4.198513	0	
0.45	4.194374	0.8056353	4.194374	0	
0.451	4.190237	0.809773	4.190237	0	
0.452	4.186101	0.8139093	4.186101	0	
0.453	4.181966	0.8180441	4.181966	0	
0.454	4.177833	0.8221775	4.177833	0	
0.455	4.173701	0.8263093	4.173701	0	
0.456	4.16957	0.8304395	4.16957	0	
0.457	4.165442	0.8345681	4.165442	0	
0.458	4.161315	0.8386951	4.161315	0	
0.459	4.15719	0.8428204	4.15719	0	
0.46	4.153067	0.846944	4.153067	0	
0.461	4.148945	0.8510658	4.148945	0	
0.462	4.144825	0.8551859	4.144825	0	
0.463	4.140707	0.8593041	4.140707	0	
0.464	4.13659	0.8634204	4.13659	0	
0.465	4.132476	0.8675349	4.132476	0	
0.466	4.128364	0.8716474	4.128364	0	
0.467	4.124253	0.8757579	4.124253	0	
0.468	4.120144	0.8798665	4.120144	0	
0.469	4.116038	0.8839729	4.116038	0	
0.47	4.111934	0.8880773	4.111934	0	
0.471	4.107831	0.8921795	4.107831	0	
0.472	4.103732	0.8962796	4.103732	0	
0.473	4.099634	0.9003775	4.099634	0	
0.474	4.095539	0.9044732	4.095539	0	
0.475	4.091445	0.9085666	4.091445	0	
0.476	4.087354	0.9126577	4.087354	0	
0.477	4.083265	0.9167464	4.083265	0	
0.478	4.079179	0.9208328	4.079179	0	
0.479	4.075095	0.9249167	4.075095	0	
0.48	4.071013	0.9289982	4.071013	0	
0.481	4.066935	0.9330772	4.066935	0	
0.482	4.062858	0.9371537	4.062858	0	
0.483	4.058785	0.9412276	4.058785	0	
0.484	4.054713	0.9452989	4.054713	0	
0.485	4.050645	0.9493676	4.050645	0	
0.486	4.046579	0.9534336	4.046579	0	
0.487	4.042516	0.9574969	4.042516	0	
0.488	4.038455	0.9615574	4.038455	0	
0.489	4.034398	0.9656153	4.034398	0	
0.49	4.030343	0.9696703	4.030343	0	
0.491	4.02629	0.9737225	4.02629	0	
0.492	4.022241	0.9777718	4.022241	0	
0.493	4.018195	0.9818181	4.018195	0	
0.494	4.014152	0.9858616	4.014152	0	
0.495	4.010111	0.9899021	4.010111	0	
0.496	4.006074	0.9939395	4.006074	0	
0.497	4.002039	0.9979739	4.002039	0	
0.498	3.998008	1.002005	3.998008	0	
0.499	3.99398	1.006033	3.99398	0	
0.5	3.989955	1.010059	3.989955	0	
0.501	3.985933	1.01408	3.985933	0	
0.502	3.981915	1.018099	3.981915	0	
0.503	3.977899	1.022115	3.977899	0	
0.504	3.973887	1.026127	3.973887	0	
0.505	3.969879	1.030135	3.969879	0	
0.506	3.965873	1.034141	3.965873	0	
0.507	3.961871	1.038143	3.961871	0	
0.508	3.957873	1.042142	3.957873	0	
0.509	3.953877	1.046137	3.953877	0	
0.5100001	3.949886	1.050128	3.949886	0	
0.511	3.945898	1.054117	3.945898	0	
0.512	3.941913	1.058101	3.941913	0	
0.513	3.937932	1.062082	3.937932	0	
0.514	3.933955	1.06606	3.933955	0	
0.515	3.929981	1.070034	3.929981	0	
0.516	3.926011	1.074004	3.926011	0	
0.517	3.922045	1.07797	3.922045	0	
0.518	3.918082	1.081933	3.918082	0	
0.5190001	3.914124	1.085892	3.914124	0	
0.52	3.910169	1.089847	3.910169	0	
0.521	3.906217	1.093798	3.906217	0	
0.522	3.90227	1.097745	3.90227	0	
0.523	3.898326	1.101689	3.898326	0	
0.524	3.894387	1.105628	3.894387	0	
0.525	3.890451	1.109564	3.890451	0	
0.526	3.88652	1.113495	3.88652	0	
0.527	3.882592	1.117423	3.882592	0	
0.528	3.878669	1.121346	3.878669	0	
0.529	3.87475	1.125266	3.87475	0	
0.53	3.870835	1.129181	3.870835	0	
0.531	3.866924	1.133092	3.866924	0	
0.532	3.863017	1.136999	3.863017	0	
0.5330001	3.859115	1.140902	3.859115	0	
0.534	3.855216	1.1448	3.855216	0	
0.535	3.851322	1.148694	3.851322	0	
0.536	3.847432	1.152584	3.847432	0	
0.537	3.843546	1.15647	3.843546	0	
0.538	3.839665	1.160351	3.839665	0	
0.539	3.835788	1.164228	3.835788	0	
0.54	3.831916	1.1681	3.831916	0	
0.541	3.828048	1.171968	3.828048	0	
0.5420001	3.824185	1.175832	3.824185	0	
0.543	3.820326	1.17969	3.820326	0	
0.544	3.816472	1.183545	3.816472	0	
0.545	3.812622	1.187395	3.812622	0	
0.546	3.808777	1.19124	3.808777	0	
0.5470001	3.804936	1.19508	3.804936	0	
0.548	3.8011	1.198916	3.8011	0	
0.549	3.797269	1.202747	3.797269	0	
0.55	3.793443	1.206574	3.793443	0	
0.551	3.789621	1.210396	3.789621	0	
0.552	3.785805	1.214213	3.785805	0	
0.553	3.781992	1.218025	3.781992	0	
0.554	3.778185	1.221832	3.778185	0	
0.555	3.774383	1.225635	3.774383	0	
0.5560001	3.770586	1.229432	3.770586	0	
0.557	3.766793	1.233225	3.766793	0	
0.558	3.763005	1.237013	3.763005	0	
0.559	3.759223	1.240795	3.759223	0	
0.56	3.755445	1.244573	3.755445	0	
0.561	3.751672	1.248346	3.751672	0	
0.562	3.747904	1.252113	3.747904	0	
0.563	3.744142	1.255876	3.744142	0	
0.564	3.740384	1.259633	3.740384	0	
0.565	3.736632	1.263386	3.736632	0	
0.566	3.732885	1.267133	3.732885	0	
0.567	3.729143	1.270875	3.729143	0	
0.568	3.725406	1.274612	3.725406	0	
0.569	3.721675	1.278343	3.721675	0	
0.5700001	3.717949	1.282069	3.717949	0	
0.571	3.714228	1.28579	3.714228	0	
0.572	3.710513	1.289506	3.710513	0	
0.573	3.706802	1.293216	3.706802	0	
0.574	3.703098	1.296921	3.703098	0	
0.575	3.699398	1.30062	3.699398	0	
0.576	3.695704	1.304314	3.695704	0	
0.577	3.692016	1.308003	3.692016	0	
0.578	3.688333	1.311686	3.688333	0	
0.5790001	3.684655	1.315364	3.684655	0	
0.58	3.680983	1.319036	3.680983	0	
0.581	3.677316	1.322702	3.677316	0	
0.582	3.673655	1.326363	3.673655	0	
0.583	3.67	1.330019	3.67	0	
0.5840001	3.666351	1.333668	3.666351	0	
0.585	3.662707	1.337312	3.662707	0	
0.586	3.659068	1.340951	3.659068	0	
0.587	3.655436	1.344583	3.655436	0	
0.588	3.651809	1.34821	3.651809	0	
0.589	3.648188	1.351831	3.648188	0	
0.59	3.644573	1.355447	3.644573	0	
0.591	3.640963	1.359056	3.640963	0	
0.592	3.63736	1.36266	3.63736	0	
0.5930001	3.633762	1.366258	3.633762	0	
0.594	3.63017	1.36985	3.63017	0	
0.595	3.626584	1.373436	3.626584	0	
0.596	3.623003	1.377016	3.623003	0	
0.597	3.619429	1.38059	3.619429	0	
