Time	Vm	Activation	Inactivation	
5.0992	-0.04992685	0.3171625	0.07130872	
5.0994	-0.04992884	0.3169003	0.07133595	
5.0996	-0.04993082	0.3166386	0.0713632	
5.0998	-0.04993279	0.3163773	0.07139049	
5.1	-0.04993476	0.3161163	0.07141779	
5.1002	-0.04993673	0.3158558	0.07144513	
5.1004	-0.04993869	0.3155956	0.07147249	
5.1006	-0.04994064	0.3153358	0.07149987	
5.1008	-0.0499426	0.3150763	0.07152728	
5.101	-0.04994455	0.3148173	0.07155471	
5.1012	-0.04994649	0.3145586	0.07158217	
5.1014	-0.04994842	0.3143004	0.07160965	
5.1016	-0.04995036	0.3140425	0.07163716	
5.1018	-0.04995229	0.313785	0.07166469	
5.102	-0.04995422	0.3135279	0.07169225	
5.1022	-0.04995614	0.3132711	0.07171983	
5.1024	-0.04995806	0.3130148	0.07174744	
5.1026	-0.04995997	0.3127588	0.07177507	
5.1028	-0.04996188	0.3125032	0.07180273	
5.103	-0.04996378	0.312248	0.07183041	
5.1032	-0.04996568	0.3119932	0.07185812	
5.1034	-0.04996758	0.3117388	0.07188585	
5.1036	-0.04996947	0.3114848	0.0719136	
5.1038	-0.04997136	0.3112311	0.07194138	
5.104	-0.04997324	0.3109778	0.07196918	
5.1042	-0.04997512	0.310725	0.07199701	
5.1044	-0.04997699	0.3104725	0.07202486	
5.1046	-0.04997886	0.3102205	0.07205273	
5.1048	-0.04998073	0.3099688	0.07208063	
5.105	-0.04998259	0.3097175	0.07210855	
5.1052	-0.04998444	0.3094666	0.0721365	
5.1054	-0.0499863	0.3092161	0.07216447	
5.1056	-0.04998814	0.3089659	0.07219246	
5.1058	-0.04998998	0.3087162	0.07222047	
5.106	-0.04999182	0.3084668	0.07224852	
5.1062	-0.04999366	0.3082179	0.07227658	
5.1064	-0.04999549	0.3079693	0.07230467	
5.1066	-0.04999731	0.3077212	0.07233278	
5.1068	-0.04999913	0.3074734	0.07236092	
5.107	-0.05000095	0.307226	0.07238907	
5.1072	-0.05000276	0.306979	0.07241726	
5.1074	-0.05000458	0.3067324	0.07244547	
5.1076	-0.05000638	0.3064862	0.0724737	
5.1078	-0.05000818	0.3062404	0.07250195	
5.108	-0.05000998	0.305995	0.07253022	
5.1082	-0.05001177	0.30575	0.07255852	
5.1084	-0.05001355	0.3055054	0.07258684	
5.1086	-0.05001533	0.3052611	0.07261518	
5.1088	-0.05001711	0.3050173	0.07264355	
5.109	-0.05001889	0.3047739	0.07267193	
5.1092	-0.05002066	0.3045308	0.07270035	
5.1094	-0.05002243	0.3042882	0.07272879	
5.1096	-0.05002419	0.3040459	0.07275725	
5.1098	-0.05002594	0.3038041	0.07278574	
5.11	-0.05002769	0.3035626	0.07281424	
5.1102	-0.05002945	0.3033215	0.07284277	
5.1104	-0.05003119	0.3030809	0.07287132	
5.1106	-0.05003293	0.3028406	0.07289989	
5.1108	-0.05003466	0.3026007	0.07292849	
5.111	-0.0500364	0.3023613	0.07295711	
5.1112	-0.05003813	0.3021222	0.07298575	
5.1114	-0.05003985	0.3018835	0.07301441	
5.1116	-0.05004157	0.3016452	0.07304309	
5.1118	-0.05004328	0.3014074	0.0730718	
5.112	-0.05004499	0.3011699	0.07310053	
5.1122	-0.0500467	0.3009328	0.07312927	
